Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Upload ID	Full Text	Type	Date Digital	Hardware	Software	Directory	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 16																											chc0218000079	chc02180000790016001		children)3 and all supplies (toys,  food, equipment etc.) as well as a  small income for herself.  The content of the foster day  care program is planned and supervised  by a staff member of the Child Welfare  Agency whose training and experience  has been in pre-school education. This  assures that the children are not  merely entertained in a safe and pleasant environment, but have an experience which makes a positive contribution to their healthy growth and  development.  The foster mothers receive program content and general  supervision from the agency staff  member on a weekly basis.  They are  also trained to observe the children  carefully and report to the social  worker any problems that may indicate  a need for medical or social services.  Day Care Center  The day care center cares for a  larger number of children.  It operates much the same as the foster day  care program except that the program  content is adjusted to the older age  group and includes more use of English  and other activities to prepare the  children for entrance in school.  Unlike the purchase-for-service system  which is used for the foster day care  program, the day care center is run  directly by the Child Welfare agency.  The day care center is located  in YMCA which is operated and used exclusively by Cubans o  Since the adults  make little use of the building during  the day, there was no problem about  finding and equipping a suitable area  for the day care activities.  Career Opportunities  All personnel in the day care  program are Cubans.  For the foster  home mothers, the program offers an  opportunity to women who need to earn  a living and yet remain at home. Typical of the women selected is Mrs. MM".  Because her school age children are on  different school hour schedules, it is  necessary for her to be at home  throughout the day.  But it is also  necessary for Mrs. M to have an income  which will support herself and her  children because her husband, is a political prisoner in Cuba and it is unlikely that Mrs. ffMM will ever be able  to get any support from him.  Through  the foster day care program, Mrs. M  can meet both the economic and personal needs of her children and at the  same time perform a much needed service.  The child care aides are also  women who must support themselves and  their families, but they are women who  do not need to remain at home all day.  Typically these are older women whose  children no longer need day time care.  Through the day care program, they  have an opportunity to put into practice the knowledge of child care and  development which they learned in the  child care training program and, with  the inevitable expansion of day care  programs which must occur, nationwide,  if needy mothers are to be expected to  work, they are gaining experience in a  career which will support them throughout their working lives.  Mothers Share Gains  The benefits of the day care program, not only to the children but also  to the mothers, are apparent in many  ways. Without a doubt, the day care  program has proved the greatest factor  in motivating the mothers to succeed in  their work training program. As they  see their children becoming more self-  reliant, overcoming behavior problems,  and playing happily with other children,  the mothers1 concerns about their welfare are diminished. A mother is  proud and pleased when her child comes  home with a valentine or other present  for her that he has made himself or  sings a song he has learned at school.  Through the experiences of even  these very young children, mothers  learn much about modern methods of  child rearing that not only helps them  in "Americanizing" their home life but  14 							94026788 Bytes	4855	6454	567238353	RGB	8	600	chc02180000790016001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/128	128	129.jp2	/chc0218/image/129.jp2
Page 17																											chc0218000079	chc02180000790017001		also in overcoming the poverty culture  which is common to any impoverished  group, whether Cuban or American. As  the children progress, the fatalistic,  present-oriented attitude of the parents - a major obstacle to rehabilitation of any dependent group - diminishes and the mothers begin to show  real enthusiasm for a program that requires a considerable output of effort  on their part, over many months, before they can reap any tangible gains.  When the mothers complete their  training, graduation ceremonies are  held for the children, as well as the  mothers, and for most of the children  the occasion does indeed mark a significant step toward maturity*.  The  mothers clearly recognize this. Often  they borrow cameras to bring to the  graduation ceremony and take pictures  of their children as they receive  their diplomas.  The picture becomes  a treasured possession, shown proudly  to anyone who expresses an interest  in the child.  One Mother!s Description of Program  Mrs. "N" was one of the women  who experienced great conflict about  placing her pre-school child in day  care.  The child's leg had been injured when he was seven months old. He  had had two operations and would have  to have a third at a future date. At  the time Mrs. "N" enrolled in the project, Manuel, then three, was still  wearing the cast that had been put on  after his last operation.  Because of  his serious health problem Mrs. "N"  had an exceptionally close relationship with him and she was very much  worried that foreign matter would get  into his cast or some other catastrophe would befall him if he was placed  with a group of other children under  the care of a stranger.  Describing the experience a year  later - she was then working as a  switchboard operator in a large hotel  she said that her initial concern  about placing Manuel in day care was  as nothing compared to her concern  over the discontinuance of the day  care service when her training was  completed.  Manuel was equally concerned.  For three days, he refused  to eat and kept asking "Mama, why  can't I go to school?" His old traits  of food phobias, temper tantrums, and  helplessness - which had disappeared  under the day care regime - began to  reappear.  Miami, in common with most communities, has very inadequate day care  facilities.  To get a child into one  of the few good facilities, one must  enter him two to three years before he  is due to attend.  Most women of  low  income rely on what is known as the  "dollar a day" facility.  This is usually a bedroom in a slum area whose  occupant, without benefit of day care  license, will keep about 15 children  whose mothers pay her a dollar a day  and leave a sandwich for the child's  noon meal.  The children simply sit or  sleep on the floor until their mothers  return. Restless or troublesome children are given tranquilizers.  Mrs. "N", however, was determined to find a good day care facility  for Manuel and refused to work until  she did so. After three months, she  was able to place him in a nursery  operated by a church that had become  interested in her welfare. At first,  the placement was tentative since the  nursery was fearful about accepting a  handicapped child. After receiving a  report on his adjustment in the project day care program, however,  the  nursery director agreed to accept him  on a trial basis for one week.  Much  to both his own and his mother's relief, Manuel "made good" and was accepted for continuing care.  Another mother, as determined as  Mrs. N that her child should not be  placed in sub-standard care when she  completed her training, is now paying  almost a third of her salary for the  child's care in a licensed facility.  Extended Day Care Service  15 							93531900 Bytes	4852	6424	2320459958	RGB	8	600	chc02180000790017001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/129	129	130.jp2	/chc0218/image/130.jp2
Page 18																											chc0218000079	chc02180000790018001		Aware of the serious problem  that confronts the mothers when they  go to work and must make their own day  care arrangements, the Cuban Child  Welfare Unit can extend day care service for a period of two months after  the mother completes her training. Unquestionably the value of the "Training for Independence" project, particularly in terms of the welfare of the  children, is seriously diminished by  the failure of the community to maintain a fully adequate day care program.  Conversely, while the mothers  are in training, the day care program  makes a demonstrable contribution to  their ability to benefit from the  classes.  Some mothers make their own  arrangements for their children with  relatives or friends.  A study, however, shows far fewer  absences of mothers with children in  the Day Care program than those leaving children in the care of relatives  or friends.  There is also a great deal of  evidence in the attitudes and performance of the two groups that the mothers whose children are in organized  day care are far more committed and  interested in their courses than are  the mothers whose children are cared  for by neighbors, friends or relatives.  USE OF COMMUNITY RESOURCES  A third distinguishing feature  of the "Training for Independence"  project is the extent to which it  seeks out and obtains cooperative relationships with other organizations.  This is a logical extension of the  traditional approach used by the Cuban  Refugee Program.  From the outset,  this Program has relied extensively  upon churches, civic groups, and in-  dustries in carrying out its mission -  Resettlement.  Its tremendous success  in resettlement (over 174,000 Cubans  had been resettled by early 1968 and  live in every State of the Union) is  due entirely to the development of  strong cooperative relationships -  with the national Voluntary Resettlement Agencies and through them to the  churches and community groups and finally to the individuals who sponsor  and befriend the newly arrived Cuban  family.  Public Agencies  The two agencies that have cooperated most closely in developing and  carrying out the project have been the  Dade County Board of Public Instruction and the Florida Department of  Public Welfare.  The design of both the English  and vocational training classes was  primarily the work of staff of the  Board of Public Instruction and a number of staff members of the agency  work full time with Cuban mothers at  both the English Center and the vocational training school.  The social service aspects of  the program are primarily the work of  the State Department of Public Welfare.  Through Mrs. Fern Pence,  Director of the Department's Family  Service Bureau and Miss Frances Davis,  Director of its Child Welfare Bureau,  basic plans for gearing public assistance and child welfare services were  developed.  Major responsibility for  actually organizing and carrying out  the total social service program -  counselling with the mothers, organizing the day care program etc. - has  been assumed throughout by Mrs.  Dorothy McCrary, Director of the Cuban  unit of the State's Child Welfare  Bureau, with a small staff consisting  chiefly of Cuban social workers.  16 							94336936 Bytes	4847	6486	1486171623	RGB	8	600	chc02180000790018001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/130	130	131.jp2	/chc0218/image/131.jp2
Page 19																											chc0218000079	chc02180000790019001		While contract arrangements  reimburse both the Board of Public  Instruction and the State Department  of Public Welfare, money alone could  not pay for the ingenuity, the interest and enthusiasm which staff of both  agencies have contributed0  Voluntary Organizations  The Voluntary Resettlement  Agencies were also important contributors to the success of the project.  They proved as helpful in resettling  the newly trained Cuban mothers as  they had been in resettling the more  routine and more easily adjusted families.  Their workers have counselled  and encouraged these insecure women,  lessening their fears of moving to a  strange community. Although, because  of the Cuban women's own preferences  and the demand for them in the Miami  labor market, most of the trainees  have remained in the Miami area, some  200 had been resettled by early 1968.  The local church, which made a  place for the crippled Cuban boy in  its day care center, was not unique.  Most of the children who receive adequate day care after their mothers go  to work are in church sponsored facilities.  Donations of equipment and material by industries and other groups  have been numerous.  In fact, the advanced power-sewing machine class has  been able to outfit many Headstart  children in the area by using scrap  materials donated by garment factories  for their practice work.  Most cooperative of all, perhaps,  has been the Cuban community of Miami  in encouraging the women, in offering  jobs and helping them make good, and  in caring for the children.  One of  the most helpful foster home mothers  is a wealthy Cuban woman, who came to  this country with two servants at a  time when it was possible to transfer  resources here.  She has not only  opened her home to the children and  the staff who care for them, but both  she and her servants give a great deal  of personal attention to each child.  Facilities  Traditionally the Program has  sought out and learned to make do  with facilities that would otherwise  be useless.  Freedom Tower, which  houses the Cuban Refugee Center, is  an office building that had long been  vacant after the newspaper company  which built it moved to other quarters.  Freedom House, where Cubans  can live for a few weeks immediately  after they arrive, was once an Air  Force Officers Club quarters, but had  not been used for many years.  It is  not surprising therefore that when a  new activity is to be launched, the  Staff immediately think in terms  of  "what isn't being used?" In the case  of the training project, the answer  was an abandoned school building for  the training facility and a Cuban  community recreation center that was  being used only at night as the place  for the day care facility.  In its record with the training  project, as in its total program, the  Cuban Refugee Program offers proof  that limitations of staff,  of funds,  or of facilities need not be deterrents to carrying out a worthwhile  activity.  With determination, resourcefulness, and the ability to tap  the reservoir of good will and helpfulness that exists in every community,  a well-designed project can secure the  resources it needs.  To enhance these staff qualities,  Program management has insisted on,  and vigorously guarded, operational  flexibilities.  This posture enables  the staff to react quickly and intelligently to needs, eliminate obstacles  and, in general, overcome any timidity  in going forward to desired goals.  THE PROJECT TODAY...AND TOMORROW  Less than a year and a half after  the '"Training for Independence" pro-  17 							95163504 Bytes	4916	6451	4257640242	RGB	8	600	chc02180000790019001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/131	131	132.jp2	/chc0218/image/132.jp2
Page 20																											chc0218000079	chc02180000790020001		ject was launched, Castro reversed his  policy on allowing refugees to leave  Cuba and President Johnson inaugurated  the airlift program to enable them to  do so.  Once again, planeloads of refugees began to arrive each day and  once again hundreds of refugees requiring hundreds of services swarmed  into Freedom Tower.  But this time the problem families have not been sidetracked to live  indefinitely on their meager public  assistance checks.  All women with  children dependent upon them for support are immediately screened to determine whether enrollment in the project would be beneficial to them.  Since families arriving under the airlift program consist only of persons  who have relatives in this country,  the majority do not need the services  offered by the project.  However, a  considerable number will need this  training.  Therefore, almost every  planeload of refugees carries a few  women with children who have no one to  support them even temporarily.  The immediate enrollment of these  women in the project has unquestionably made their adjustment easier.  There is no period of aimless living  with nothing to look forward to except  the next public assistance check; a  period described by one of the trainees as "the time of despair".  The welcome given to all refugees  upon arrival is still warm in their  hearts.  (Immediately upon debarkation,  all the refugees enter a room where  they are welcomed, told about all  available services, and served refreshments by volunteers.  Those who go to  Freedom House for temporary care - and  most of those who are not met by relatives - are further welcomed with special gift packages prepared by volunteers, including school children in all  parts of the country and distributed by  the Red Cross.  Everyone receives $5  spending money immediately with no  questions asked).  Thus, in contrast to the AFDC  mother who has usually suffered numerous rebuffs before enrolling in a  training project and in contrast to  the earlier trainees in this project  who had also endured months, if not  years, of frustration previously,  today's enrollee enters the "Training  for Independence" project with a  genuine feeling that she is welcome  and that the project will indeed lead  her to a bright future.  Chronic Dependency Can Be Prevented  As a result, the project is no  longer dealing with problems of chronic  dependency. Although the basic nature  of the caseload is the same - unmarried  mothers, women with marital problems,  low educational levels, lack of work  experience - no backlog of dependency  cases has developed. Whereas in mid-  1964, when the project was launched  and when there had been no influx of  new arrivals for many months, there  were 3,800 female heads of families who  were dependent upon public assistance,  in January, 1968, after new arrivals  had been coming in at the rate of 200  a day for almost two years, only 341  female heads of families were receiving public assistance. A few have  prospects for resettlement or jobs or  have health or other problems which  made it unfeasible to enroll them immediately.  Some will no doubt be enrolled later; most will be found to  have other plans which makes enrollment unnecessary.  LOOKING AHEAD  With a smaller caseload, staff of  the project are now focusing their attention on how to improve it.  Supervision is given by the Director of the  Cuban Child Welfare unit, a graduate  social worker with long experience,  and her assistant.  Plans under this  new system, call for a great deal more  emphasis upon pre-enrollment counselling and for continuous study and evaluation of each case.  18 							94589872 Bytes	4866	6478	145810123	RGB	8	600	chc02180000790020001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/132	132	133.jp2	/chc0218/image/133.jp2
Page 21																											chc0218000079	chc02180000790021001		Since health problems -- some valid, many questionable -- account for  most absences from the training classes,  a plan is now being considered for giving each woman a very thorough medical  examination before she is enrolled.  This will not only help staff to determine whether the mother's problems are  emotional or physical but will also uncover latent or existing medical problems which are not found under the present system of referring mothers for  health care only when they complain of  an acute illness.  Efforts will continue to be made  to have more homogeneous groupings of the  women in the training classes.  It is  found to be difficult for the trainees as  well as for the teachers when classes are  made up of women whose educational background ranges from no formal schooling to  an 8th or 9th grade education.  The child welfare staff finds it  much easier to work with mothers who  have not been left hopeless and adrift  for months or years prior to entering  the project.  The class teachers find  it inspiring to work with these women.  Employers who recruit from these  classes once usually do so repeatedly.  The attitude of the mothers is well  expressed by Mrs. N, the mother who  feared to place her crippled boy in  day care.  She recently wrote to the  Program:  "I send gratitude for the study  plan that made possible my attendance  at English Center.  I liked my teachers and the way that care of our  children was carried out.  The tenderness and affection shown my boy is  something I wonft soon forget".  Upon completion of training, day care  services are continued on an individual  case basis while the mother seeks employment, or until her first salary check is  received.  Here "Training For Independence" Continues  19 							94053692 Bytes	4849	6464	2618471255	RGB	8	600	chc02180000790021001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/133	133	134.jp2	/chc0218/image/134.jp2
Page 22																											chc0218000079	chc02180000790022001		DISCRIMINATION PROHIBITED -- Title VI of  the Civil Rights Act of 1964 states:  "No  person in the United States shall, on the  grounds of race, color, or national origin, be excluded from participation in,  be denied the benefits of, or be subject  to discrimination under any program or  activity receiving Federal financial assistance."  Therefore, the Cuban Refugee  Program, like every program or activity  receiving financial assistance from the  Department of Health, Education, and Welfare, must be operated in compliance with  this law. 							95009364 Bytes	4881	6487	3134677532	RGB	8	600	chc02180000790022001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/134	134	135.jp2	/chc0218/image/135.jp2
Page 23																											chc0218000079	chc02180000790023001									94417736 Bytes	4852	6485	2411778365	RGB	8	600	chc02180000790023001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/135	135	136.jp2	/chc0218/image/136.jp2
Training for independence: a new approach to the problems of dependency		U.S. Department of Health, Education, and Welfare; Social and Rehabilitation Service; U.S. Cuban Refugee Program				Refugees -- Cuban -- Florida -- Miami -- 1960-1970; United States. Department of Health, Education, and Welfare; Government publications -- United States -- Periodicals	Pamphlets		c.1964	1960-1970	Miami (Florida)	1 government publication, 23 pages	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 35; Folder No. 11				axr				chc0218000079																			2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/136	136	137.cpd	/chc0218/supp/136/index.pdf
Page 1																											chc0218000082	chc02180000820001001		OPORTUNIDADES  ORIENTACIÓN PARA REFUGIADOS  CUBAN REFUGEE PROGRAM  LA PALABRA NO ES  PARA  ENCUBRIR  LA VERDAD SINO  PARA  DECIRLA.  JOSÉ MARTI  VOL. 4, NO.  1  SOCIAL AND REHABILITATION SERVICE  MIAMI, FLORIDA OCTORER 1968  U.S. DEPARTMENT OF HEALTH, EDUCATION & WELFARE  ABRIÓ SUS OJOS  EN UN MUNDO LIBRE  J ...  LAS SEÑORAS ELENA PELEGRIN Y MARIA LEJARZA, de la Agencia Católica, visitaron a nombre de su director el Sr. Hugh  McLoone,a la cubana refugiada Sra. Violeta Castillo Garma  que a las pocas horas de llegar de Cuba dio a luz un niño  en la Casa de la Libertad. El padre, Sr. Juan M. Castillo  Martín quedó en Cuba por tener 27 años de edad. La Agencia  Católica, escogida por la Sra. Castillo, ha tenido a su  cargo la orientación de esta familia en sus proyectos de  trasladarse -tan pronto llegue el esposo- a California.  Las Sras. Pelegrín y Lejarza estuvieron largas horas con la  madre y le llevaron una canastilla a la recién nacida. La  prensa divulgó el nacimiento de la pequeña y hubo alguno  que comentó: "Dichosa esta niña que ha podido abrir sus  ojos en un mundo libre".  UN TITULO AMERICANO ABRE MAS PUERTAS  ESTE ES UN ASPECTO DEL ACTO DE GRADUACIÓN de un grupo de  cubanos refugiados que tomó el curso de Contabilidad Avanzada que ofrece el English Center. Son ellos: las señoritas Rita Cortina y Georgina Ecay;las señoras Rosa de Armas,  Olga Fernández, Edith Lazo, Aida Masvidal, Magda Pullos,  Inés Bertrán y Caridad Garcell y los señores Alfredo Llere-  na, Josa Portuondo, Julio Otazo, José Ortero, Andrés Polan-  co y Juan Palmer. También aparecen los profesores señoras  Raquel Nodal y Ana Rita Milla (López del Castillo) y el Sr.  Mariano Cibrán. Mr. Don Williams, Coordinador General del  English Center y Mr. John Benson estuvieron presentes en el  acto. El Dr. Julio Otazo, distinguido periodista del diario Prensa Libre, de la Cuba democrática, tuvo a su cargo  unas palabras de agradecimiento de los alumnos por los conocimientos recibidos.  GANA GAVILÁN NUEVA VICTORIA  .'GAVILÁN HA GANADO UNA NUEVA VICTORIA.1  Esta fue la ex-  sus mas fervorosos fanáticos en el exi-  llegado a la  presión de uno de  lio, cuando supo que Gerardo González había  Casa de la Libertad. Se refería a la victoria del boxeador  cubano al poder disfrutar de amplia y plena libertad en este país. A los pocos minutos de su arribo a Miami fue invitado por el Sr. Errol T. Ballanfonte, Director del Centro  para Refugiados Cubanos y uno de sus grandes admiradores,  para conversar un rato sobre aspectos interesantes de la  vida del ex-campeón. La entrevista fue en inglés - Gavilán  había vivido 13 años en Nueva York cuando comenzó su carrera pugilística - y durante unos cuantos minutos salieron a  relucir acuerdos y anécdotas de las peleas del campeón cubano con figuras como Héctor Constance y Boby Dykes en  1955. La prensa y la radio americana y cubana lo entrevistaron, se le ofrecieron homenajes y actos congratulatorios,  periódicos como Diario Las Americas, Zig-Zag, La Crónica,  Patria, Regreso, Réplica y otros publicaron fotos de ayer y  de hoy y glorificaron su figura. La Agencia Internacional  de Rescate tuvo a su cargo la orientación de Kid Gavilán.  En esta foto lo vemos en estas oficinas, lugar donde fue  atendido por el Sr. James Fenton, que le entrega un pasaje  para que continue viaje rumbo al Norte, Norte; la Sra. Silvia Medina de Goudie y el Sr. Albert K. Trout, Director de  I.R.C. Buena suerte al campeón que, antes de dejar esta  ciudad, dedicó fotos al Centro para Refugiados Cubanos, al  Sr. Errol T. Ballanfonte y al Sr. John F. Thomas, por las  atenciones de que fue objeto. Buena suerte por haber "ganado una nueva victoria".  CUBAN REFUGEE EMERGENCY CENTER  Deportment of Health, Education and Welfare  600 Biscayne Boulevard  Miami, Florida        33101  Official    Business  POSTAGE   AND   FEES   PAID  U. S. DEPARTMENT OF H. E. W. 							106111068 Bytes	5256	6728	510277790	RGB	8	600	chc02180000820001001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/137	137	138.jp2	/chc0218/image/138.jp2
Page 2																											chc0218000082	chc02180000820002001		"OPORTUNIDADES"  Publicación del Programa Para Refugiados Cubanos,  designada para (trientar al refugiado con respecto al  programa.  John F. Thomas Program Director, Washington, D, C.  Errol T, Ballanfonte Refugee Center Director  Eugenio Sánchez Torrente Editor  LO QUE DEBEMOS  SABER SOBRE EL  PROGRAMA  PALABRAS DEL DR. JACK MCKENZIE  El Dr. Jack McKenzie, Director de los Servicios Médicos  del Programa para Refugiados Cubanos, nos ha facilitado para  la publicidad las siguientes informaciones:  1« Los refugiados que confronten una verdadera emergencia  pueden acudir al Dispensario Médico sin necesidad de  turno.  2. En horas en que el Dispensario Médico del Centro no está  abierto, los cubanos refugiados en activo (actualmente  recibiendo ayuda médica), que tengan una emergencia, pueden ir a la sala de emergencia del hospital más cercano.  3. El Programa para Refugiados Cubanos no autorizará los  pagos por atención médica a los hospitales en casos menores que no requieran tratamientos considerados como  una verdadera emergencia. En este último caso el refugiado es responsable del pago de la cuenta.  PROTECCIÓN DONDEQUIERA QUE EL REFUGIADO VA  LOS CUBANOS REFUGIADOS AL SALIR DE MIAMI, para cuales-  quier estado del país, reciben una tarjeta dirigida a los  Gerentes de las Oficinas Locales del State Employment Service de toda la nación en la que se explica: "El portador ha  sido reubicado a esa localidad. Sírvase prestarle la ayuda  necesaria para conseguirle empleo adecuado. Deberán considerarse, cuando sea necesario, facilidades para tomar cursos de Inglés y vocacionales, a fin de mejorar las oportunidades de empleo para el interesado". Esta tarjeta le  sirve para presentarse al personal de la oficina estatal  del Servicio de Empleos en la localidad que el refugiado ha  escogido para radicarse. Cuando un cubano refugiado necesita ayuda para obtener empleo o quiere asistir a cursos  especiales para aprender profesiones u oficios debe visitar  la oficina local del State Employment Service. Todos los  servicios de estas oficinas están a su entera disposición y  son completamente gratis. Es bueno que los cubanos traten  de adquirir habilidad en el idioma Inglés para entender y  hacerse entender a la vez, pero si no lo han logrado, en el  momento en que necesita esta ayuda, debe acudir a estas dependencias con otra persona que le sirva de interprete.  Esto ultimo le permitirá resolver mejor su problema. Como  acabamos de ver el Programa para Refugiados Cubanos  sigue  atendiendo y orientando al refugiado, en sus momentos de  mayor urgencia, aún en los más apartados rincones del territorio americano.  SUGERENCIAS DEL DIRECTOR  EL SR. ERROL T. BALLANFONTE recomienda a los cubanos refugiados, tanto a los niños como a los jóvenes y adultos  que tengan siempre a mano sus certificados de nacimiento.  Esta sugerencia se basa en que hay ciertos trámites privados u oficiales que requieren la posesión de este documenta  Cita como ejemplo el caso de la Inter City Athletic Conference que demanda la presentación del certificado de nacimiento a todos aquellos jóvenes refugiados que deseen participar de sus actividades deportivas.  ANIVERSARIO DEL GRITO DE YARA  1868 - 1968: CENTENARIO  PARALELOS HISTÓRICOS. Un reportaje oral que adivinamos  en el Dr. Jorge Carro, uno de los participantes del curso  para Bibliotecarios que está teniendo lugar en Kansas State  Teacher's College de Emporia, patrocinado por el Programa  para Refugiados Cubanos.  Carro: De vez en cuando es bueno analizar la historia.  Si vamos a las páginas del diario de un refugiado de la  emigración cubana, de hace un siglo, podemos leer: "íPor  fin estoy en territorio de los Estados Unidos! tPor fin  puedo respirar libremente.1 'Bendita esta tierra de progreso  y libertad.'" José de Armas, The Cuban Revolution, New York,  1868, p.2. Y si acudimos a las páginas del Boletín No. 40  del Municipio de Guantánamo en el exilio, de Julio de 1968,  sección "Buzón" (Síntesis de cartas recibidas), nos encontramos con un párrafo como éste: "Antes que nada un saludo  afectuoso a todos los guantanameros, tanto en mi nombre como en el de todos los que nos encontramos residiendo en el  exilio, en estas acogedoras tierras de California" Gerardo  Arenado (Tito), Santa Ana, California. Y sigamos hurgando  el pasado. Juan Arnao en Páginas de la historia, New York,  1877, escribía: "Nueva York, Filadelfia y Nueva Orleans se  llenaron de familias (refugiadas)... y Cayo Hueso, Tampa,  Charleston y Baltimore dieron hospitalidad y ofrecieron  trabajo a la clase de artesanos..." Esto era, como podemos  ver, cuando tenía lugar en Cuba la llamada Guerra de los  Diez Anos. Ahora, en septiembre de 1968, nos admiramos  con informaciones como éstas: "Más de 53,752 cubanos refugiados se han ido a residir a Nueva York; En Filadelfia hay  unos 2,000; más de 4,000 en New Orleans, unos 700 en Cayo  Hueso; sobre 3,000 en Tampa; cerca de 50 en Charleston; 500  en Baltimore...y todos triunfan trabajando en labores manuales o profesionales", tomado de GDR del Departamento de  Salud, Educación y Bienestar Social. Por otra parte Gerardo Castellanos en Motivos de Cayo Hueso, La Habana, 1935,  refiriéndose al hecho cierto de que la distribución de los  cubanos refugiados en 1869 por el territorio americano no  afectaba fundamentalmente la unidad espiritual de la nación cubana, dijo: "Reuniones y comidas guardaban el mismo sabor que en la patria cercana. Los nativos aprendieron  nuestro idioma..."Para continuar enfatizando: "... en tal  orfandad, sin más armas defensivas que la virtud y el trabajo, para lograr la afirmación en el elemento nativo, que  generalmente teme y rechaza al inmigrante competidor, imponíase la cordialidad que los empalmara en homogénea colonia.  En la disgregación estaría la muerte..." Y finaliza diciendo: "Por eso, cuando Cuba fue libre, los cubanos no necesitaron muchas horas para amarrar bártulos y trasplantar  el campamento. Habían sido como las abejas. Laboraron honrada y tesoneramente". Hoy podemos afirmar lo mismo. Por  eso estamos nosotros por acá, por Kansas, estudiando y,  otros miles trabajando y estudiando, repartidos por todas  partes. Es todo cuanto quería decirles. Gracias. ACLARACIÓN: Como acabamos de ver, la historia se repite. Si bien  es cierto que en 1868 Cayo Hueso "ofrecía mejores condiciones para obreros que los demás lugares", hoy en 1968, suman  millares las ciudades y los pueblos, repartidos por toda la  Unión, que brindan mejores oportunidades que el Cayo Hueso  de hace 100 años. Nos remitimos a la prueba. Venga al Centro para Refugiados Cubanos y visite las Agencias Voluntarias (Católica, HIAS, Protestante y Rescate Internacional)  donde le darán amplios informes sobre las condiciones de  vida a todo lo largo y ancho de este país. 							105996364 Bytes	5210	6780	2965603903	RGB	8	600	chc02180000820002001.tif		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/138	138	139.jp2	/chc0218/image/139.jp2
