Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	Full Text	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Chronological account of regular meetings, May 11, 1911 (page 128)		Steere, Anna E.			Written on front: "1911 May 11"; "Extracts from Minutes"; "Anna E. Steere Sec."; "128"				1911-05-11	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510099001		■:■:■  /  yo. ZJjy^y,   ZL  A^cy,  (ZZ^y^&lt;^  &lt;y^L   .  1  /-v  rz&gt;  3  /  AI.  iy-ii.    yt^i.   , *yy&gt;} &lt;£t^-^y.   tv    A  A  i yy-^j z^^1^ i   y^t^yC  A  A syf M  /&lt;£^&gt;^^^     / lit  A ^trYz7^AC   /At^y^  LA^AZyy-A    Ly^ac^yCcAU a£u*#{  t^^^/Ty     /%   T^C^^e^cyf^  yysyctsty/zsi  ^y  '-.  AAACtAA,      ZZiyG-'j	87128888 Bytes	4917	5905	2470824003	RGB	8	600	asm04000001510099001.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1735	1735	1736.jp2	/asm0400/image/1736.jp2
Paper on child study (page 131)					Mrs. Stewart's paper on child study (front) inserted at page 131 of the scrapbook; Written on front: "1911"; "131"				1911	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510100001		iqn  y&A  $-{fa~attx*t***^*---  y^ctJ  \*yuy a? &/y^&gt;/a/^^i *• *  yAy^. /Ay  -j) Ak&, &Ar~/&~yy£—-*A~*-  SZyAL i*r~^ y?y* *• -^^^A.  y*-rJL y[ yyy^ a*° y*y ^"t~  jg: JL, x £ ye/y^y ^yf\  "yyyiityy- A  tf& ^^^y u**yyy~ *  yy&lt;y yu^uO- &lt;yr*rv /*** ™*-  i  f                                            j  y  r	89168820 Bytes	4960	5991	353885644	RGB	8	600	asm04000001510100001.tif		2013-03-01	2013-03-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1736	1736	1737.jp2	/asm0400/image/1737.jp2
Paper on child study		Stewart, R.L., Mrs.			Mrs. Stewart's paper on child study (back) inserted at page 131 of the scrapbook		Manuscripts		1911	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510100021		yAyyyyzy?/A,  yA ^j^o^ p xZ-/y  i  4i~d c&^/m ny&*-  " ~ ^y  Z A/y&gt; ^— ^ A^ *~  ty/yyty- ?Ai  y. y.A.i %-zy-^yy ■ &lt;**u  y^AZ^ «m&gt; yy&gt;~s^A.  7— * —   - 7aA,y\  yi/A~j r rfUpcAuy -&gt;ZA p&gt;^^^.  y.*&gt;€&gt;c£-iyy*y	41920608 Bytes	3330	4194	2802518265	RGB	8	600	asm04000001510100021.tif		2013-03-01	2013-03-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1737	1737	1738.jp2	/asm0400/image/1738.jp2
Government blueprint of land purchased for Seminoles (page 136)					Government blueprint of land purchased for Seminoles folded and pasted on page 136 of the scrapbook; Written on front: "136"					1900-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400						This page can be rescanned.				asm0400000151						asm04000001510101001		/S6  I  1  1  1  ■  I  1 '  1  All  ^Ht JKSS\iA \  &gt;.••  ¥*ji;  i	91218476 Bytes	5080	5984	2829147246	RGB	8	600	asm04000001510101001.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1738	1738	1739.jp2	/asm0400/image/1739.jp2
Government blueprint of land purchased for Seminoles					Government blueprint of land purchased for Seminoles folded and pasted on page 136 of the scrapbook; Imprinted on front: "Land purchased for Seminole Indians in Florida"		Blueprints			1900-1910			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510101011		A. 32£ 7?.33£ 7t34£  W/'th money c/ppropr/at~eo/' /bytt/e Act*s ot:  ic/gasf AS, A39y (za stats., L., 303)  -3,000.00  A/orc/?    Z, 7895, (28 •• •'     892) "---- 3,000.00  June       AO, 7896,  (29 •• -      337)  3,000.00  Jane        7, 7897,  (30 » »        78) 3,000.00  Afarc/?    /, 7899, (30 » -      938)- 3,000.00  June       6, /900, (31 &lt;• -      302) --.--266.75  Bvv%!wyA\  See AAnao/ Tleports  7896 A°A*ye 93  /697 ■■ 66  7838        - 73  /899 82  A&00 ■■       / OI  DATS  June   /995  AforcA 7896  A/qy   7897  Ju/y   7697  Apr//7838  K7c//y A099  AC 7?SAGS  /,2eo  2,56O  Apr/7 7896 7,920  644.40  /,920.00  640. OO  7}S97.3Z  A&lt;/££/st7899       6j400. 00  (7dta/) 23,06/.72  AMOUA/T  GrtAA/TOFf  OSSCAf/ PT/O/V,  7,2 80  /,552  7,2/6  4/8.86  7,344.00  448.00  /Vc?. Southern Tf.s.Co.  P/a&gt;n7 7/7y&lt;ssf/nent Co.  Ay/a. Souf/?esr? /?. /?. Co.  M  D/sston Lane/ Co.,  yr&n/r Q 3royy/?,  3,2 O 0.00        Frew7c Q Brown,  Sees., 24anc/2&lt;5  Sec.      25  Sees., 23,25anc/35  SeCS,, /2 0/70*&4  Sec.     36  Sec.      7  Sec.     /8  Sees., A8 and34  Sec.     32  3P48.66       D/ssfon Lone/ Co., Sees.  Sees., /2, /4.20t2 Z, 24,26,  ■ 28, 30, 32&nc/36.  T.           Ft.(S&lt;3&gt;S.)  48  32  47  48  32  32  48  4.8  33  32  48  34  48  48  33  34  73y307.S2	117981212 Bytes	7864	5000	1153276658	RGB	8	600	asm04000001510101011.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1739	1739	1740.jp2	/asm0400/image/1740.jp2
Petition regarding Seminoles (page 137)					Petition regarding Seminoles inserted and pasted on page 137 of the scrapbook; Written on front: "137"				1911	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510102001		■"■■■■■■■■  ti^^Ato* *w &lt;Luy% /^thruTA^ufr' Chicly f^uZj ^Zy   wZtKyy  fnoAM^ " 1/[XjvJji *4*Mj(r7iy ^uwA ay tZ JUy yvuujfyZy /£ (j*  fran.  '/typtuAytiAUut  AtfrV cZ)&lt; O, £r\*A£tA?C0  JL rfZ, fiu&gt; UA^dxAMuuHAAif ZMJ/mA 4*AC#rnxy  /^jUM4rir^,Ac^^ /U* 6oxd/L~  jmatl; cZAmZlA Aid? InZcd/Aj/L ti ^^X^l^a^C *^ il*3L  #£tH,*4A 4L6&gt;LUaU     Zli/ulf AtyicoH**  '«/;    AZjUts jOMUAtdLf ZuUrts /UjO yUAt+y tA*Jj/     tt£&4*tAj  To TUap Xu&cyy eA£tUc^L (4^ mA Zuutju    apt AAbtjAu^ .  * Z? ZJ '    *,      *«.      ■-*- IZ '&s *.  tAA7UyjL #4uu&lt;~ /L&Aaa*-, ,   Ux&lt; (aAM #y&gt; n*yu&gt;   /%*, ifrc&y/Ut  Ur/tlJjL UrfUybL 4^tt&it /u^Z &lt;*•/ &lt;n&lt;^ f *-/ Z&gt;v~j aj t£*K  14 6~ Jb&yjey Ax^ 6-wv, if^^ 9^ tA^L£M, fuxjxji. c/ 6co tuyttM^  Ltrty Wi£( AtUf  Zt*Xe   fZZ f^Z( 9L A^^ OM^euu .  4—     X/uAl   &lt;nd4*tOA*&lt;W /ptAJLOyH-4    tiA AArVU** £a*AM &&ttv*~  (3£4/&lt;e c yyTutJiL /PftAA^   aJL*^ Afiurco   C4-£eAt4*yf   /tptyruL^  C*2U* 9- /UAftZnj t/*yu4, y£^ uh-dtJ^, a*&lt;4 a^c  \M it( Uo^ U&yxo  /ZZ djLZL4^uUd.  /i &lt;*Z&lt;/«AU&gt;  .  -   i  A   ,Z      (Lj£- .   ~JZy   y y-AA %^    r-*4Ur  ■■MM	86207684 Bytes	4799	5986	1897758062	RGB	8	600	asm04000001510102001.tif		2013-03-01	2013-03-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1740	1740	1741.jp2	/asm0400/image/1741.jp2
Petition regarding Seminoles					Petition regarding Seminoles inserted and pasted on page 137 of the scrapbook		Manuscripts		1911	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510102011		fU4&lt;   olo «  nftuA 4i4rt*&gt;   t/Luu   AUUL mjLM&p aJUt dLe^A^  *-;iA ttUs /tyrt444,ayA^ &puL4 /HAk47&lt;^ frtJUls /UyiAl4&gt;t.(+L4   *tX&Pi^  ^^^^^it^cy Jl tttz^ jHAAnAZdA (SAn^d/j6^^/£yA^  {/icy /hty*yj~ eLo   4*3. tl/ //e«y Aajc To tycaA *A"~ eUJL*  %tA 4mXuK. ty AjL*AAA-tLaX~  At****&gt;  tj/yrt+L{ *1%- &lt;/f £4tO^^Jck  &lt;4iy?    CUs fkA*%. Z^AAActf / fail/   dAAHiJL, fHxr%X^ aW£±Z  ^  UtyucJbu m jZus 7tHu4ltCAiAiAi/iJt4   CMiAHyy{~ t/iA^tA* f&t***.   ~fc  'll/lf&y fiy-frUsttatf r^ydJ»&lt;.i^ZurrH4   Zy AeL&^&tit'rfuf  yL47C (^ tU^Oy ptttW, CArp/ceA   f/*Zs   6A4*ha*4~ &&lt; &lt;£kAr*+%, •  yCA tZZjuAfrU* 444*AlttnjtA Ctfiu* to JtAL*44 /£ut du4iy^eZ  H&A UAva^yy/kt^W^C/Ji a~&gt;pti&gt;Ler4u*%, JllAM*. tyoAy^, 14 4U~€^uaA3&gt;,	36029268 Bytes	4180	2871	4187629238	RGB	8	600	asm04000001510102011.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1741	1741	1742.jp2	/asm0400/image/1742.jp2
Letter from Department of the Interior relating to Seminoles (page 138)					Letter from R.G. Valentine, Commissioner of Indian Affairs, Department of the Interior to Mrs. John Gifford, dated Apr. 15, 1911, pasted on page 138 of the scrapbook; Written on front: "138"				1911-04-15	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510103001		5-1100  ADDRESS ONLY THE  EPLY TO THE FOLLOWING:  SS ONLY THE  COMMISSIONER OF INDIAN AFFAIR      QF ,NDiAN AFFAIR  li  Land-  Allotments  30993-1911  J T R  DEPARTMENT OF THE INTERIOR  OFFICE OF INDIAN AFFAIRS  WASHINGTON  ands  Seminole Indians  in Florida.  APR 15 191 i  Mrs. John Gifford,  Cocoanut Grove, Florida.  Madam:  I have your letter of April 4f 1911, requesting  further information regarding the Seminole Indians in  Florida.  A blue print is enclosed showing in tabular form  the date of purchase, acreage, amount paid, from whom bb~  tained, description of the land and references to the Acts  carrying the appropriations from which the lands for the  Seminole Indians in Florida were bought.  As the totals  will show $13,307.52 were spent in the purchase of 23,061.72  acres.  This itself would indicate that the land bought  is not of a very desirable character.  In fact, a large  part of it was bought at about 50 cents an acre and the  Office understands that part of the land now owned toy the  Government for these Indians is under water.   Just what  effect the drainage projects now in progress under State  supervision will have on these lands is, to say the least,  |\ I problematical.   If the State succeeds in draining the Ever-  f  ,s been  con-  e Of-  th re  uired  i  from 1  i  dress  nently  nent;  in  sasons  ffice  i  ;o  their  JL-  leeds  r.	88726036 Bytes	5008	5904	4163308889	RGB	8	600	asm04000001510103001.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1742	1742	1743.jp2	/asm0400/image/1743.jp2
Letter from Department of the Interior relating to Seminoles		Valentine, Robert G. (Robert Grosvenor), 1872-1916			Letter from R.G. Valentine, Commissioner of Indian Affairs, Department of the Interior to Mrs. John Gifford, dated Apr. 15, 1911, pasted on page 138 of the scrapbook		Correspondence		1911-04-15	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510103021		5-1100  ADDRESS ONLY THE  COMMISSIONER OF INDIAN AFFAIR*.  EPLY TO THE FOLLOWING  glades,  necessarily it will enhance the  value   of the  lands  owned by the Government for the   Seminole  Indians.  Under the   appropriation found  in the Act of  April  4,   1910  (36  Stats.  L.,  269-274),  for the  relief of  distress among the  Seminole  Indians,   a special agent has been  appointed and has been in the  field for  some time  past conducting investigations with a view of placing before  the   Office the  true  conditions  surrroraiding these  Indians, with re  commendations as to   such relief,   if any,  as may be required  and can be extended to them.       From preliminary reports from  s  It  this Special Agent, Mr. Lorenzo D. Creel, whose last address  as given to the Office was Jupiter, Florida, the Office  understands that none of the Seminole Indians are permanently  located on the lands heretofore purchased by the Government;  but that occasionally they do go to various points within  these lands for temporary camping purposes at certain seasonr  of the year. L*  Special Agent Creel will make further investigation regarding the needs of these Indians and the Office L  may be in a position at a later date to furnish you with  more definite information as to what policy it expects to  pursue in connection with this band.  Your interest in their  behalf is appreciated.  Respectfully,  A^^yyy^s  4-VAR-10 Commissioner. M  *r.  s  ■	73831824 Bytes	4244	5797	1215677635	RGB	8	600	asm04000001510103021.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1743	1743	1744.jp2	/asm0400/image/1744.jp2
Letter from Department of the Interior relating to Seminoles		Hanke, C.F.			Letter from C.F. Hanke, Second Assistant Commissioner of Indian Affairs, Department of the Interior to Mrs. John Gifford, dated Apr. 25, 1911, pasted on page 138 of the scrapbook		Correspondence		1911-04-25	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510103031		5-1100  EPLY TO THE FOLLOWING:  ADDRESS ONLY THE  COMMISSIONER OF INDIAN AFFAIR^  land- DEPARTMENT OF THE INTERIOR  ^JlS*????8 OFFICE OF INDIAN AFFAIRS  34666-1911  J   T   B WASHINGTON APR    25   191 I  Seminole Indians  in Florida.  Mrs. John Gifford,  Cocoanut Grove, Florida.  Madam:  The Office is in receipt of your letter of  April 15, 1911, regarding the Seminole Indians in Florida,  wherein it is said that you have received no reply to a  previous letter.  Office letter to you, in reply to your  letter of April 4, 1911, was mailed on April 15, 1911,  the same day on which your last letter pertaining to this  matter was written.  It is believed that the information contained  in Office letter of April 15, 1911, furnishes you the additional information desired; particular attention being  invited to the last paragraph thereof, wherein it was suggested that, until further investigations regarding the needs  of these Indians have been made, the Office is not in a  position to say definitely what its fixture policy or plans  with regard to the members of this band will be.  Respectfully,  A.VAP-Pl  Second Assistant Commissioner.	69490448 Bytes	3936	5883	775487281	RGB	8	600	asm04000001510103031.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1744	1744	1745.jp2	/asm0400/image/1745.jp2
Letter from Department of the Interior relating to Seminoles (page 139)		Valentine, Robert G. (Robert Grosvenor), 1872-1916			Letter from R.G. Valentine, Commissioner of Indian Affairs, Department of the Interior to Mrs. John Gifford, dated Mar. 30, 1911, pasted on page 139 of the scrapbook; Written on front: "139"		Correspondence		1911-03-30	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510104001		5-1100  R IN REPLY TO THE FOLLOWING:  DEPARTMENT OF THE INTERIOR  OFFICE OF INDIAN AFFAIRS  WASHINGTON VM  ADDRESS ONLY THE J%"  COMMISSIONER OF INDIAN AFFAI '       J***  .nning  Land-  Allotments  20817-1909  25954-1911  W A M  MAR 30 1911  Land for Seminole  Indians.  Lng  3i-  B  ling  fligent  pirns.  Dnal  Mrs. John Gifford,  Cocoanut Grove, Florida.  Madam:  I have received your letter of March 18, 1911,  regarding a proposed petition for the establishment of a  Federal reservation for the Seminole Indians in Florida.  During the years 1895 to 1900, from money appropriated bty Congress for this purpose, approximately 23,000  acres in southern Florida, lying in townships 47 and 48 south,  ranges 32, 33 and 34 east, were purchased for these Indians.  On November 22, 1907, the Department approved a recommendation from this Office withdrawing from settlement and  entry about 480 acres additional lying in townships 50  and 51 south, ranges 40 and 41 east.  There is, therefore,  at this time an area of a little more than 23,500 acres  set aside for the Seminole Indians in Florida, and these  lands in effect constitute a reservation for these Indians.  The Act of April 4, 1910 (36 Stat. L., 274), appropriated $15,000 for the relief of distress among the Seminole [***+* «  Indians in Florida and for purposes of their civilization,  i.  les  are  ted	87968312 Bytes	4912	5968	2152989708	RGB	8	600	asm04000001510104001.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1745	1745	1746.jp2	/asm0400/image/1746.jp2
Letter from Department of the Interior relating to Seminoles		Valentine, Robert G. (Robert Grosvenor), 1872-1916			Letter from R.G. Valentine, Commissioner of Indian Affairs, Department of the Interior to Mrs. John Gifford, dated Mar. 30, 1911, pasted on page 139 of the scrapbook		Correspondence		1911-03-30	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510104011		/ n  &gt;tf&gt;  and the Indian Appropriation Act for the fiscal year beginning  July 1, 1911, appropriated f10,000 additional.  These Indians have heretofore been averse to having  any dealings with white persons, especially any one connected with the Government Service.  It has not been possible, therefore, to compile an accurate census, but from  the best information obtainable the Seminole Indians in  Florida number about 500.  Through the kindly interest of Bishop Gray and his  co-laborers in southern Florida, these Indians are beginning  to stand in less fear of white men.  Recently a Special Agent  has noeen  appointed for the purpose of more closely investigating and supervising local conditions among these Indians.  After careful investigation now being made under my personal  direction, should it be found that these Indians require  additional lands for the protection of their interests,  the matter will be considered with a view of acquiring  such additional area as may be needed and can be obtained.  Any petition that workers in behalf of the Seminoles  in Florida ma.;/ care to present may be addressed to the  Secretary of the Interior or the Commissioner of Indiam  Affairs.  I thank you for the interest manifested in the welfare  of these Indians and assure you that they will be protected  to the fullest possible extent. y  Respectfully,      /     --^____  3-0GP-27 Commissioner.	88215364 Bytes	4880	6024	449602163	RGB	8	600	asm04000001510104011.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1746	1746	1747.jp2	/asm0400/image/1747.jp2
Conservatory Music Study Club (page 143)					Written on front: "1911"; "143"; Printed on clipping: "Conservatory Study Club"				1911	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510105001		* CONSERVATORY STUDY CLUB *  * *  The Conservatory Music Study Club  was organ-zed in October, 1910, and  held Its first program meeting early  in November. The present officers  of the club are: President, Mrs.  Franklin Coleman Bush, who founded the club, Vice-President, Miss  Eleanor Corson Percy; Treasurer,  Mrs. Charles Terrell; Corresponding  Sec'y, Mrs. Geo. Romfh; Recording  Sec y, Miss Elizabeth Owen.  The aim of the club is the better-  understanding and appreciation of  music. Next Beason, the club proposes to bring at least two great artists to Miami for concerts, believing that as much, if not more, Inspiration comes to the student and  lover of music through hearing master performers as in personal study.  Membership in the club is not limited to those whot can play upon instruments or sing, but also includes  all those who love good muse and  who desire to know about it from  historical, theoretical and practical  standpoints.  The club seems to have rilled a  long-felt want with Miamians and  much interest and enthusiasm has  been manifested. The future should  witness the development of the Music Club into a powerful organization.  The following subjects have been  studied at programs this winter;  1. Beginnings of Music, in charge  of Mrs. John Gifford. Illustrations  were primitive Indian melod::es, rhyth-|  mic monodies, a Pindar ode, ancient  Breton Balads, very early Scotch and  German Folk  Songs,  etc.  2. Development of Musical Notation, illustrated with charts, Mrs.'  J.  F. H. Mullett.  3. Development of Musical Instruments, Mrs. A. Leight Monroe;  program of various instrumental  numbers; talk on Folk Songs, illustrated, "Summer is Coming In",  with explanations of this earliest  part song by Miss Eleanor Percy,  sung by six voices.  4. Oratorio Program, in conjunc-:  tion with Woman's Club.    In charge  of  Mrs.   Franklin     Coleman     Bush;  illustrations from J. S. Bach, Haydn,!  Handel and Mendelssohn.  5. Dance Forms; Mrs. T. V.  Moore; Illustrations from old dance  songs, piano and violin numbers.  6\ Sonata Form; Mrs. Franklin  C. Bnsh, joint program with Woman's Olub; illustrations from Carl  P. E. Bach, Haydn, Mozart and  3eethoven,  7. Chinese Music. Mrs, John  Gifford; Illustrated by Chinese Melodies and Chinee phonographic records.  Programs to  be    given    between  ^now  and  May; —  ^     Colonial and Revolutionary Music,  Mrs. Glen C. Friesell.  Old English, Scotch and Irish Music;  Early Italian Operas—two programs;  Early Italian Instrumental Music.  &gt;  /pi  yys  \  mnigm&mk	95858572 Bytes	4936	6472	2979820685	RGB	8	600	asm04000001510105001.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1747	1747	1748.jp2	/asm0400/image/1748.jp2
Principles adopted by the United States Board on Geographic Names (page 144)					Written on front: "1911"; "144"; Printed on clipping: "Geographic Names"; "Principles"; "Adopted March 6, 1906"				1911	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510106001		/**  f A  K  GEOGRAPHIC  NAMES.  The following principles have been  adopted by the United States Board  on Geographic Names for guidance in  the selection of place names.  Principles.  Euphonious and suitable names of  Indian, Spanish, or French origin  should be retained.  Names suggested by peculiarities of  the topographic features designated—  such as their form, vegetation, or animal life—are generally acceptable,  but duplication of names, especially  within one State, should be avoided.  The names ''Elk," "Beaver," "Cottonwood," and "Bald" are altogether too  numerous.  Names of living persons should be  applied very rarely, and only those of  great effhin/ence should be thus honored. No personal names should be  attached because of relationship,  friendship, or personal interest, nor  should names of obscure persons be  given. Names of eminent men now  dead may be thus perpetuated, particularly those., of early explorers,  naturalists, geologists, topographers,  etc.  Long and clumsily-constructed  names and names composed of two  or more words should be avoided. It  is a foregone conclusion that such  names will not be adopted by the  public. If the name selected consists  of more than one word the words  should be combined if practicable.  The possessive form of names should  be avoided unless the object is owned  by the person whose name it bears.  The multiplication of names for different parts of the same feature, such  as a river or mountain range, should  be avoided. Only one name should  be applied to a stream or mountain  range throughout its entire length ; in  the case of a river the name should  follow up its longest branch.  The naming of forks, prongs,  branches, etc., as "East Fork" or  "North Prong" of a river, should be  avoided unless there is special reason  for it. In most cases, independent  names should be given to a river's  branches.  The use of hyphens and diacritic  characters should be avoided as far as  possible.  Adopted March 6, 1906.	88373072 Bytes	4963	5934	1153979693	RGB	8	600	asm04000001510106001.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1748	1748	1749.jp2	/asm0400/image/1749.jp2
List of names submitted by the Housekeepers Club (page 145)					List of names submitted by the Housekeepers Club pasted on page 145 of the scrapbook; Written on front: "1911"; "145"				1911	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510107001		////  //  I  0/k.  Gentlemen:  Realizing the prominent part you are taking in the development and settlement of Everglade lands, and being greatly interested in  the subject of appropriate and euphonious  place names, we have taken great pleasure in  compiling brief suggestive lists of words suitable for place names, and herewith submit  them for your consideration, together with  the recommendations of the Board of Geographic Names. See pages 20 and 21 of accompanying report.  Trusting that you approve of our desires  and that you will be successful in adding to  the map of Florida many suitable and beautiful names, we remain,  Yours truly,  THE HOUSEKEEPERS' CLUB  April, 1911. of Cocoanut Grove.  W  y	90037204 Bytes	5000	6001	880900781	RGB	8	600	asm04000001510107001.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1749	1749	1750.jp2	/asm0400/image/1750.jp2
List of names submitted by the Housekeepers Club (page 1)					List of names submitted by the Housekeepers Club pasted on page 145 of the scrapbook; Printed on front: "The Housekeepers' Club of Cocoanut Grove"; "April, 1911"		Leaflets		1911-04	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510107011		0/k.  Gentlemen:  Realizing the prominent part you are taking in the development and settlement of Everglade lands, and being greatly interested in  the subject of appropriate and euphonious  place names, we have taken great pleasure in  compiling brief suggestive lists of words suitable for place names, and herewith submit  them for your consideration, together with  the recommendations of the Board of Geographic Names. See pages 20 and 21 of accompanying report.  Trusting that you approve of our desires  and that you will be successful in adding to  the map of Florida many suitable and beautiful names, we remain,  Yours truly,  THE HOUSEKEEPERS' CLUB  April, 1911. of Cocoanut Grove.  w	56488396 Bytes	3536	5323	683768494	RGB	8	600	asm04000001510107011.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1750	1750	1751.jp2	/asm0400/image/1751.jp2
List of names submitted by the Housekeepers Club (page 2)					List of names submitted by the Housekeepers Club pasted on page 145 of the scrapbook; Printed on front: "List Plant names suitable for place names"		Leaflets		1911-04	1910-1920			eng		University of Miami Libraries. Special Collections	Woman's Club of Coconut Grove Records	ASM0400										asm0400000151						asm04000001510107021		I'  LIST  Plant Names Suitable for  PLACE JSlAMES  Acacia  Avicenna  Anona (already used)  Ambrosia  Ardisia  Aralia  Althea  Agave  Amaryllis  Alfalfa  Aletris  Bursera  Canella  Cassava  Cedrela  Cajan  Casuarina  Coccoloba  Calamus  Campanula  Cardinal  Datura  Drosera  Dalbergia  Deodora  Erythrina  Eugenia  Fagara  Frangipani  Gerardia  Hibiscus  Hicoria  Houstonia  Helianthus  Ipomoea  Iris  Kalmia  Lantana (taken)  Lobelia  Limetta  Lupinus  Melaleuca  Myrtle  Melia  Myrica  Myosotis  Malva  Mimosa  Nyssa  Olea  Oleander or Adelfa  Ocotea  Persea  Papaya  Passiflora  Portulaca  Poinciana  Stellaria  Swietenia  Sapota  Sabina  Sida  Smilax  Tecoma  Tilia  Trifolium  Whahoo  Yucca ;  Yarrow  NOTE.—This list could be indefinitely extended by reference  to Chapman's Flora and other  botanical works.  «7	54398744 Bytes	3388	5350	1734530742	RGB	8	600	asm04000001510107021.tif		2013-02-28	2013-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/1751	1751	1752.jp2	/asm0400/image/1752.jp2
