Title	Translated Title	Creator	Recipient	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Web Site	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Perrine Grant Land Company application form		Perrine Grant Land Company		Application from the Dade County Board of Commissioners to purchase lands from the Perrine Grant Land Company, lands lying east of the Florida East Coast Railway right-of-way.		Land use	Forms (Documents)				Florida. Miami-Dade county. Perrine.	1 typewritten form			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 2, Folder Title: Deeds: to Board of County Commissioners of Dade County for rock pits, 1911-1917 (Special file 52).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000970001001	image/tiff	7685.32 KB	5197	4208	0xC2BDA7B4	RGB	24-bit depth	600 dpi	asm00750000970001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/980	980	1007.jp2	/asm0075/image/1007.jp2
Perrine Grant Land Company correspondence: to Ingraham re Wietzer			Ingraham, J. E. (James E.)	Letter to James E. Ingraham, probably from Frederick S. Morse, February 8, 1913, about Mr. Wietzer's interest in seeing the Perrine Grant lands.		Land use	Commercial correspondence		1913	1913	Florida. Miami-Dade county.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 3, Folder Title: Assigned contract: 11-56-39, 1912 (Special file 81).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000200001001	image/tiff	49182.116 KB	4989	6517	0xA1C1458E	RGB	24-bit depth	600 dpi	asm00750000200001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/981	981	942.jp2	/asm0075/image/942.jp2
Perrine Grant Land Company correspondence: Ingraham to Morse re Wietzer		Ingraham, James Edmundson, 1850-1924	Morse, Frederick S., 1859-1920	Letter from J.E. Ingraham to Frederick S. Morse, February 11, 1913: "I have your favor of the 8th inst., and note that you have received a letter from Mr. Wietzer. We were aware of his having stopped off at Titusville as we understand he is interested in the Titusville Fruit and Farm Lands Co."		Land use	Commercial correspondence		1913-02-11-1913-02-11	1913	Florida. Brevard county. Titusville.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 3, Folder Title: Assigned contract: 11-56-39, 1912 (Special file 81).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000320001001	image/tiff	33513.918 KB	4789	6337	0xDD509437	RGB	24-bit depth	600 dpi	asm00750000320001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/982	982	954.jp2	/asm0075/image/954.jp2
Letter from J.E. Ingraham to Frederick Morse, October 26, 1911		Ingraham, J. E. (James E.)	Morse, Frederick S., 1859-1920	Model Land Company President J.E. Ingraham instructs sales agent Frederick Morse to sell five acres to the Dade County Board of Commissioners at $20 per acre.		Land use	Commercial correspondence		1911-10-26	1911	Florida. Miami-Dade county.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 2, Folder Title: Deeds: to Board of County Commissioners of Dade County for rock pits, 1911-1917 (Special file 52).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000800001001	image/tiff	10014.703 KB	4897	6418	0x44C912E7	RGB	24-bit depth	600 dpi	asm00750000800001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/983	983	990.jp2	/asm0075/image/990.jp2
Letter from George Lindsay to Frank J. Pepper and Burr Potter, May 21, 1921, requesting an extension on the deadline for payment of property in the Perrine Grant		Lindsay, George R.	Pepper, Frank J., b. 1880; Potter, Burr S.	Lindsay writes: "We received notice of payment on land contract by the writer with Mr. Mann G. Davis falling due June 15th., amounting to $2051.80.  This is the balance due after payments made on the timber that was cut.  Owing to an absolute stagnation of business in our markets, we have had to cease cutting, as you perhaps know, and for this reason we write to ask if we could not arrange with you for an extension of time on the payment on account of being unable to cut the timber."		Land use	Commercial correspondence		1921	1921	Florida. Miami-Dade county. Perrine.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 30, Folder Title: Sales: Perrine land acquired through Walker Suit and from Albertson Estate, 1920-1924 (Special file 896).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000550001001	image/tiff	33307.196 KB	5049	6537	0xF4FDD620	RGB	24-bit depth	600 dpi	asm00750000550001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/984	984	967.jp2	/asm0075/image/967.jp2
Perrine Grant Land Company correspondence: Morse to Ingraham re Wietzer		Morse, Frederick S., 1859-1920	Ingraham, J. E. (James E.)	Letter from Frederick S. Morse to James E. Ingraham, February 17, 1913: "Dear Sir, I took Mr. Wietzer to Palm Beach yesterday by auto, he expected to go to Titusville on Monday remain there about a week and then go to St. Augustine. I believe he is very much interested in the Grant."		Land use	Commercial correspondence		1913-02-17-1913-02-17	1913	Florida. Miami-Dade county. Perrine.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 3, Folder Title: Assigned contract: 11-56-39, 1912 (Special file 81).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000280001001	image/tiff	46666.967 KB	4969	6477	0xB264510E	RGB	24-bit depth	600 dpi	asm00750000280001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/985	985	950.jp2	/asm0075/image/950.jp2
Perrine Grant Land Company correspondence: Ingraham to Morse re Wietzer		Ingraham, James Edmundson, 1850-1924	Morse, Frederick S., 1859-1920	Letter from J.E. Ingraham thanking Frederick S. Morse for showing Mr. Frederick Wietzer over the Perrine Land Grant Company lands.		Land use	Commercial correspondence		1913-02-18-1913-02-18	1913		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 3, Folder Title: Assigned contract: 11-56-39, 1912 (Special file 81).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000290001001	image/tiff	34740.533 KB	4769	6297	0x78076C2E	RGB	24-bit depth	600 dpi	asm00750000290001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/986	986	951.jp2	/asm0075/image/951.jp2
Perrine Grant Land Company correspondence: Morse to Ingraham re Wietzer		Morse, Frederick S., 1859-1920	Ingraham, J. E. (James E.)	Letter from Frederick S. Morse to James E. Ingraham, February 15, 1913: "We have had a busy week with Mr. Wietzer but believe he is favorably impressed with the Grant and the condition of the country here as he told me he considered that what he had seen was just the beginning of our development here. Yesterday I took him all over the country south of here as far as Detroit showing him what we were doing in the way of fruit trees, vegetables, etc., and he was greatly pleased. Tomorrow, Sunday, I am going to take him up to Palm Beach by auto. from where he is going to Titusville by train."		Land use; Agriculture	Commercial correspondence		1913	1913		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 3, Folder Title: Assigned contract: 11-56-39, 1912 (Special file 81).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000300001001	image/tiff	48086.579 KB	5009	6517	0x19CC65FD	RGB	24-bit depth	600 dpi	asm00750000300001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/987	987	952.jp2	/asm0075/image/952.jp2
Letter from Pepper to Beckwith, July 10, 1914, concerning sale of land to A.T. Carter		Pepper, Frank J., b. 1880	Beckwith, John P.	Model Land Company sales agent Frank Pepper writes to Florida East Coast Railway Company vice-president John P. Beckwith concerning sale of about 24 acres to A.T. Carter in Coconut Grove. Carter believed there was a surplus in the land and Pepper asks Beckwith to draw up a new deed.		Land use	Commercial correspondence		1914-07-10	1914	Florida. Miami-Dade county. Miami. Coconut Grove.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 7, Folder Title: Sale: Coconut Grove, 1914. Plat: Coconut Grove (Special file 234).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002080001001	image/tiff	13461.358 KB	5122	6628	0x37BD5A8A	RGB	24-bit depth	600 dpi	asm00750002080001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/988	988	1106.jp2	/asm0075/image/1106.jp2
Trespassing on Model Land Company lands: Fox to Morse, January 27, 1912		Fox, Joseph	Morse, Frederick S., 1859-1920	Letter from Joseph Fox to Model Land Company sales agent Frederick Morse: "I am about to give in my application for 5 acres of land which joining Mr. [?] and Mr. Williams I am going to farm on it and pay for it after the season. I can't make any payment now. I only got enough money to farm with. I understand the land is $40 an acre if so I will be owing $350 please to answer me as quick as possible. I remain yours, Joseph Fox."		Land use	Commercial correspondence		1912-01-27-1912-01-27	1912		1 handwritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 4, Folder Title: Trespasser file, 1912 (Special file 121).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000170001001	image/tiff	19696.373 KB	3045	4712	0x381829EE	RGB	24-bit depth	600 dpi	asm00750000170001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/989	989	939.jp2	/asm0075/image/939.jp2
Letter from Charles Brumley to Pepper and Potter, November 1, 1920, concerning sale of Kendal Grove property		Brumley, Charles S.		Letter from Model Land Company Assistant Secretary Charles Brumley to sales agent Frank Pepper concerning the sale of Kendal Grove property to George Merrick. The land deed had not included the packing-house in that property which belonged to Chase and Company, and Brumley inquires whether Merrick wished to purchase it.		Land use; Merrick, George E.	Contracts		1920-11-01	1920	Florida. Miami-Dade county. Kendall Grove.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 32, Folder Title: Sale: Flagler Grove Property to George Merrick, 1920-1925 (Special file 950).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002460001001	image/tiff	10330.772 KB	5092	6628	0xC78A1A5A	RGB	24-bit depth	600 dpi	asm00750002460001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/990	990	1131.jp2	/asm0075/image/1131.jp2
Letter from R. H. Martin to Frederick Morse, July 11, 1917, concerning Coconut Grove right-of-way		Martin, R. H.	Morse, Frederick S., 1859-1920	Valuation engineer R.H. Martin of the Florida East Coast Railway Company writes to Model Land Company sales agent Frederick Morse that he has been unable to locate the deed assigning Jackson and Mary Peacock's Coconut Grove property to the Railway.		Land use; Peacock, Jackson, 1872-1925; Peacock, Mary Elizabeth Rink, 1879-1965	Commercial correspondence		1917-07-17	1917		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Right-of-way: Coconut Grove, 1913-1917. (Special file 177).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001610001001	image/tiff	10428.561 KB	4882	6388	0xD207AF7D	RGB	24-bit depth	600 dpi	asm00750001610001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/991	991	1062.jp2	/asm0075/image/1062.jp2
Morse's bill for repayment from the Florida East Coast Railway for services rendered		Morse, Frederick S., 1859-1920		Model Land Company sales agent Frederick Morse had purchased property from George Paddock and Donald Caddigan for resale to the Florida East Coast Railway; this is his bill for repayment.		Florida East Coast Railway	Forms (Documents)		1913-11-28	1913		1 typewritten form			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Purchase: 11-55-40 for Kendal Grove, 1913 (Special file 184).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001860001001	image/tiff	7259.854 KB	5272	4388	0xC023BA6B	RGB	24-bit depth	600 dpi	asm00750001860001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/992	992	1084.jp2	/asm0075/image/1084.jp2
Road crossing, south city limits, Florida City		Ingraham, J. E. (James E.)	Morse, Frederick S., 1859-1920	Model Land Company President James E. Ingraham writes to sales agent Frederick S. Morse that he has received a letter from E. Ben Carter, Chief Engineer of the Florida East Coast Railway, who reports that carpenters are heading to Florida City to complete the public crossing at Mile Post #396.		Roads	Commercial correspondence		1916	1916	Florida. Miami-Dade county. Florida City.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 11, Folder Title: Road crossing: Florida City, 25-57-36, 1916 (Special file 396).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002270001001	image/tiff	9889.692 KB	4897	6373	0x9FDEDA5D	RGB	24-bit depth	600 dpi	asm00750002270001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/993	993	1118.jp2	/asm0075/image/1118.jp2
Statement of payment to Shutts, Smith, and Bowen, Attorneys, for consultation, January 8, 1918		Morse, Frederick S., 1859-1920	Shutts, Frank B., 1870-1947; Bowen, Crate D., 1871-1959; Smith, William Pruden	Florida East Coast Railway Company statement of payment to Shutts, Smith, and Bowen, Attorneys, for consultation concerning a deed from Mary E. Peacock and Jackson Peacock to the Company.		Florida East Coast Railway; Land use; Peacock, Jackson, 1872-1925; Peacock, Mary Elizabeth Rink, 1879-1965	Forms (Documents)		1918-01-08	1918	Florida. Miami-Dade county. Miami. Coconut Grove.	1 typewritten document			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Right-of-way: Coconut Grove, 1913-1917. (Special file 177).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001680001001	image/tiff	7038.612 KB	5107	4238	0xDFD97911	RGB	24-bit depth	600 dpi	asm00750001680001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/994	994	1069.jp2	/asm0075/image/1069.jp2
Letter from Pepper to Ernest, December 21, 1918, regarding lease of property for railroad track construction		Pepper, Frank J., b. 1880	Ernest, L. B.	Model Land Company Frank Pepper writes to L. B. Ernest regarding the lease of some of his property for construction of a railroad spur track to connect the main line of the Florida East Coast Railway and the Aviation Gunnery School near Cutler.		Land use; Railroads; Florida East Coast Railway	Commercial correspondence		1918-12-21	1918	Florida. Miami-Dade County. Cutler.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 41, Folder Title: Lease: right-of-way for Chapman Field Roadway; location of Aviation Gunnery School of U.S., 1924 (Special file 390).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002690001001	image/tiff	15040.917 KB	5122	6688	0x3BC75FCA	RGB	24-bit depth	600 dpi	asm00750002690001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/995	995	1142.jp2	/asm0075/image/1142.jp2
Letter from Ingraham to Pepper, November 15, 1913, concerning sale of Kendall Grove property		Ingraham, James Edmundson, 1850-1924	Pepper, Frank J., b. 1880	Model Land Company vice-president James Ingraham asks sales agent Frank Pepper writes to purchase the property of George A. Paddock and Donald C. Caddigan that adjoined Kendall Grove.		Land use	Commercial correspondence		1913-11-15	1913	Florida. Miami-Dade county. Kendall Grove.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Purchase: 11-55-40 for Kendal Grove, 1913 (Special file 184).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001840001001	image/tiff	9602.155 KB	4897	6433	0xB02D79FE	RGB	24-bit depth	600 dpi	asm00750001840001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/996	996	1082.jp2	/asm0075/image/1082.jp2
Letter from Livingston to Pepper and Potter, August 11, 1925, concerning the lease of property in Homestead		Livingston, A. R.; Pepper, Frank J., b. 1880	Potter, Burr S.	A. R. Livingston, of the Redlands Investment company, writes to Model Land Company sales agents Pepper and Potter concerning the lease of property in Homestead to establish a general recreation and social center for the Fire Department there.		Land use	Commercial correspondence		1925-08-11	1925	Florida. Miami-Dade County. Homestead.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 46, Folder Title: Recreation center for Homestead Fire Department (Special File 1450).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002790001001	image/tiff	14929.646 KB	5197	6703	0xFF8CF560	RGB	24-bit depth	600 dpi	asm00750002790001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/997	997	1151.jp2	/asm0075/image/1151.jp2
Letter from James E. Ingraham to Frederick S. Morse, September 11, 1911, concerning sale of Perrine lands		Ingraham, J. E. (James E.)	Morse, Frederick S., 1859-1920	Ingraham replies to Morse's letter, advising him what purchasing price to offer to Mr. D. Frank McCrimmon, who wanted to buy property in Perrine on which to build a packing-house.		Land use; McCrimmon, D. Frank	Commercial correspondence		1911-09-11	1911		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 1, Folder Title: Sale: Perrine, 1911 (Special file 30).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000650001001	image/tiff	9815.622 KB	4882	6418	0xB1D8B0D3	RGB	24-bit depth	600 dpi	asm00750000650001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/998	998	976.jp2	/asm0075/image/976.jp2
Letter from Hoffman to Pepper and Potter, September 27, 1929, regarding Hardee's packing-house lot		Hoffman, J. W.	Pepper, Frank J., b. 1880; Potter, Burr S.	Model Land Company vice-president J. W. Hoffman writes to sales agents Pepper and Potter that he is cancelling the lease of a Homestead lot to Captain M. C. Hardee, because the packing house on the property was destroyed in a fire and Hardee decided to give up the lease.		Land use	Commercial correspondence		1929-09-27	1929	Florida. Miami-Dade County. Homestead.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 46, Folder Title: Packing house lot at Homestead (Special File 1445).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002710001001	image/tiff	10194.47 KB	4867	6312	0xCFAB1283	RGB	24-bit depth	600 dpi	asm00750002710001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/999	999	1143.jp2	/asm0075/image/1143.jp2
Letter from Frederick Morse to Mrs. Dorn, August 22, 1913		Morse, Frederick S., 1859-1920	Dorn, Mary Elizabeth	Model Land Company sales agent Frederick Morse informs Cocoa Plum Thimble Club president Mary Elizabeth Dorn that the Trustees of the Flagler Estate will not permit the Company to donate land for the Club's clubhouse, but offers five acres at a price of $150.		Cocoa Plum Thimble Club; Land use	Commercial correspondence		1913-08-22	1913	Florida. Miami-Dade county. Larkins.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Donation: Coco Plum Thimble Club, Clubhouse site, 1913-1920. (Special file 168).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001390001001	image/tiff	14082.28 KB	5107	6658	0x98353A50	RGB	24-bit depth	600 dpi	asm00750001390001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/1000	1000	1041.jp2	/asm0075/image/1041.jp2
Correspondence between Frederick Morse and James H. Bolton, July 28, 1914		Morse, Frederick S., 1859-1920; Bolton, James H.		Model Land Company sales agent Frederick Morse and James H. Bolton of Goulds discuss Company payment toward road construction.		Land use; Roads	Commercial correspondence		1914-07-28	1914	Florida. Miami-Dade county. Goulds.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Road construction: Goulds, 1913-1914. (Special file 179).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001790001001	image/tiff	10440.903 KB	5167	6688	0x724D022	RGB	24-bit depth	600 dpi	asm00750001790001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/1001	1001	1079.jp2	/asm0075/image/1079.jp2
Letter from R. H. Martin to Frederick Morse, January 10, 1918, concerning Coconut Grove right-of-way		Martin, R. H.	Morse, Frederick S., 1859-1920	Valuation engineer R.H. Martin of the Florida East Coast Railway Company writes to Model Land Company sales agent Frederick Morse concerning the deed assigning Jackson and Mary Peacock's Coconut Grove property to the Railway.		Land use; Peacock, Jackson, 1872-1925; Peacock, Mary Elizabeth Rink, 1879-1965; Florida East Coast Railway	Commercial correspondence		1918-01-10	1918	Florida. Miami-Dade county. Miami. Coconut Grove.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Right-of-way: Coconut Grove, 1913-1917. (Special file 177).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001700001001	image/tiff	9812.795 KB	4897	6433	0xCD5F3647	RGB	24-bit depth	600 dpi	asm00750001700001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/1002	1002	1071.jp2	/asm0075/image/1071.jp2
Letter from Frederick Morse to J.R. Parrott, August 13, 1913		Morse, Frederick S., 1859-1920	Parrott, Joseph R.	Letter from Model Land Company sales agent Frederick Morse to Florida East Coast Railway Company President J. R. Parrott concerning the Coconut Grove land deed for Jackson and Mary Peacock.		Land use; Peacock, Jackson, 1872-1925; Peacock, Mary Elizabeth Rink, 1879-1965	Commercial correspondence		1913-08-13	1913	Florida. Miami-Dade county. Miami. Coconut Grove.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Right-of-way: Coconut Grove, 1913-1917. (Special file 177).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001580001001	image/tiff	13281.677 KB	5167	6688	0x6F6E5526	RGB	24-bit depth	600 dpi	asm00750001580001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/1003	1003	1059.jp2	/asm0075/image/1059.jp2
Letter to Ingraham to Morse, February 25, 1914, about construction		Ingraham, James Edmundson, 1850-1924	Morse, Frederick S., 1859-1920	Model Land Company vice-president J. E. Ingraham writes to sales agent Frederick Morse about Company policy regarding contributing to road construction.		Roads	Commercial correspondence		1914-02-25	1914		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 6, Folder Title: Road construction: Miami, 1914 (Special file 212).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750002020001001	image/tiff	10327.339 KB	4942	6418	0xA8A44523	RGB	24-bit depth	600 dpi	asm00750002020001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/1004	1004	1100.jp2	/asm0075/image/1100.jp2
Trespassing on Model Land Company lands: Morse to Clark, April 8, 1912		Morse, Frederick S., 1859-1920	Clark, R. W.	Letter to R. W. Clark, April 8, 1912: "We are informed that you are trespassing on about 10 acres of land in the S1/2 of Section 6-56-39, growing a crop of tomatoes on the same. This is to notify you to get off of this land which belongs to the Model Land Company, or make arrangements to pay for the same."		Land use; Agriculture	Commercial correspondence		1912	1912		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 4, Folder Title: Trespasser file, 1912 (Special file 121).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000040001001	image/tiff	49693.895 KB	5029	6517	0x4053A376	RGB	24-bit depth	600 dpi	asm00750000040001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/1005	1005	926.jp2	/asm0075/image/926.jp2
Letter from Frank J. Pepper to James E. Ingraham, September 11, 1911, re sales of Perrine lands		Pepper, Frank J., b. 1880	Ingraham, J. E. (James E.)	Pepper writes to Ingraham to convey Mr. D. Frank McCrimmon's anxiousness to buy property in Perrine on which to build a packing-house.		Land use; McCrimmon, D. Frank	Commercial correspondence		1911-09-11	1911		1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 1, Folder Title: Sale: Perrine, 1911 (Special file 30).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000660001001	image/tiff	14265.57 KB	5092	6628	0x7BDF796C	RGB	24-bit depth	600 dpi	asm00750000660001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/1006	1006	977.jp2	/asm0075/image/977.jp2
Letter from J.E. Ingraham to Frederick Morse, October 23, 1911		Ingraham, J. E. (James E.)	Morse, Frederick S., 1859-1920	Model Land Company President J.E. Ingraham informs sales agent Frederick Morse that the Company does not own the rock pit site (which the Dade County Board of Commissioners sought to purchase) at the location Morse had described. Ingraham urges him to sell them nearby lands belonging to the Company, though.		Land use	Commercial correspondence		1911-10-23	1911	Florida. Miami-Dade county.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 2, Folder Title: Deeds: to Board of County Commissioners of Dade County for rock pits, 1911-1917 (Special file 52).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750000780001001	image/tiff	10185.057 KB	4912	6418	0xD6315FDD	RGB	24-bit depth	600 dpi	asm00750000780001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/1007	1007	988.jp2	/asm0075/image/988.jp2
Letter from W.H. Chambers to Frederick Morse, September 10, 1913		Chambers, W. H.	Morse, Frederick S., 1859-1920	W. H. Chambers, comptroller of the Florida East Coast Railway, writes to Model Land Company sales agent Frederick Morse concerning the deed for a railway in Coconut Grove.		Land use; Railroads	Commercial correspondence		1913-09-10	1913	Florida. Miami-Dade county. Miami. Coconut Grove.	1 typewritten leaf			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 5, Folder Title: Right-of-way: Coconut Grove, 1913-1917. (Special file 177).						http://merrick.library.miami.edu/digitalprojects/copyright.html		Text					asm00750001550001001	image/tiff	9328.167 KB	4912	6433	0xD1911A7	RGB	24-bit depth	600 dpi	asm00750001550001001.tif		2008-05-19	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/1008	1008	1056.jp2	/asm0075/image/1056.jp2
