Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000045						asm00370000450001001	image/tiff	32628.649 KB	5731	4351	0x1E3759AE	RGB	24 bit depth	600 dpi	asm00370000450001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/125	125	126.jp2	Volume5\1_asm00370000450001001.tif	/asm0037/image/126.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000045						asm00370000450002001	image/tiff	32077.704 KB	5731	3830	0xBDB72965	RGB	24 bit depth	600 dpi	asm00370000450002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/126	126	127.jp2	Volume5\1_asm00370000450002001.tif	/asm0037/image/127.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000045						asm00370000450003001	image/tiff	41175.032 KB	5731	4331	0x761C60CC	RGB	24 bit depth	600 dpi	asm00370000450003001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/127	127	128.jp2	Volume5\1_asm00370000450003001.tif	/asm0037/image/128.jp2
Page 4																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000045						asm00370000450004001	image/tiff	41175.032 KB	5731	4331	0x357B5BC5	RGB	24 bit depth	600 dpi	asm00370000450004001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/128	128	129.jp2	Volume5\1_asm00370000450004001.tif	/asm0037/image/129.jp2
Miami Beach, year 'round vacationland				Promotional flier advertising the charms of Miami Beach.		City promotion; Tourism	Advertising fliers				Florida; Miami-Dade County (Florida); Miami Beach (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami-Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000045	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/129	129	130.cpd		/asm0037/image/130.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000021						asm00370000210001001	image/tiff	44824.707 KB	4849	5495	0xA7FDC44B	RGB	24 bit depth	600 dpi	asm00370000210001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/130	130	131.jp2	Volume6\asm00370000210001001.tif	/asm0037/image/131.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000021						asm00370000210002001	image/tiff	43360.267 KB	4849	5474	0x14767819	RGB	24 bit depth	600 dpi	asm00370000210002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/131	131	132.jp2	Volume6\asm00370000210002001.tif	/asm0037/image/132.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000021						asm00370000210003001	image/tiff	55825.229 KB	7213	5474	0x899F4D09	RGB	24 bit depth	600 dpi	asm00370000210003001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/132	132	133.jp2	Volume6\asm00370000210003001.tif	/asm0037/image/133.jp2
Page 4																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000021						asm00370000210004001	image/tiff	57489.818 KB	7234	5434	0xEB31E027	RGB	24 bit depth	600 dpi	asm00370000210004001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/133	133	134.jp2	Volume6\asm00370000210004001.tif	/asm0037/image/134.jp2
Page 5																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000021						asm00370000210005001	image/tiff	45129.126 KB	4809	5495	0xC847957F	RGB	24 bit depth	600 dpi	asm00370000210005001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/134	134	135.jp2	Volume6\asm00370000210005001.tif	/asm0037/image/135.jp2
Page 6																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000021						asm00370000210006001	image/tiff	66678.813 KB	7193	5474	0xFDB5941E	RGB	24 bit depth	600 dpi	asm00370000210006001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/135	135	136.jp2	Volume6\asm00370000210006001.tif	/asm0037/image/136.jp2
Page 7																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000021						asm00370000210007001	image/tiff	47173.571 KB	4849	5495	0x357AC313	RGB	24 bit depth	600 dpi	asm00370000210007001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/136	136	137.jp2	Volume6\asm00370000210007001.tif	/asm0037/image/137.jp2
Page 8																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000021						asm00370000210008001	image/tiff	63189.289 KB	7193	5495	0xE4C4274	RGB	24 bit depth	600 dpi	asm00370000210008001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/137	137	138.jp2	Volume6\asm00370000210008001.tif	/asm0037/image/138.jp2
Miami: year 'round resort and city of tropical homes						City promotion; Tourist attractions; Tourism	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000021	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/138	138	139.cpd		/asm0037/image/139.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000044						asm00370000440001001	image/tiff	50641.366 KB	7173	5555	0xACD53781	RGB	24 bit depth	600 dpi	asm00370000440001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/139	139	140.jp2	Volume6\asm00370000440001001.tif	/asm0037/image/140.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000044						asm00370000440002001	image/tiff	51482.588 KB	7254	5575	0x675F41E2	RGB	24 bit depth	600 dpi	asm00370000440002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/140	140	141.jp2	Volume6\asm00370000440002001.tif	/asm0037/image/141.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000044						asm00370000440003001	image/tiff	58035.114 KB	7254	5575	0xAA994B00	RGB	24 bit depth	600 dpi	asm00370000440003001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/141	141	142.jp2	Volume6\asm00370000440003001.tif	/asm0037/image/142.jp2
This summer, more room, more fun in cool Miami Beach						City promotion; Tourism	Advertising fliers				Florida; Miami-Dade County (Florida); Miami Beach (Florida)		eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami-Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000044	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/142	142	143.cpd		/asm0037/image/143.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000027						asm00370000270001001	image/tiff	58177.788 KB	8356	5495	0xF8EFCE7B	RGB	24 bit depth	600 dpi	asm00370000270001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/143	143	144.jp2	Volume6\asm00370000270001001.tif	/asm0037/image/144.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000027						asm00370000270002001	image/tiff	42021.744 KB	8396	5454	0xB923EF76	RGB	24 bit depth	600 dpi	asm00370000270002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/144	144	145.jp2	Volume6\asm00370000270002001.tif	/asm0037/image/145.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000027						asm00370000270003001	image/tiff	34939.205 KB	8396	5474	0xF596270A	RGB	24 bit depth	600 dpi	asm00370000270003001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/145	145	146.jp2	Volume6\asm00370000270003001.tif	/asm0037/image/146.jp2
Page 4																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000027						asm00370000270004001	image/tiff	37606.114 KB	8396	5474	0xB300400C	RGB	24 bit depth	600 dpi	asm00370000270004001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/146	146	147.jp2	Volume6\asm00370000270004001.tif	/asm0037/image/147.jp2
Page 5																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000027						asm00370000270005001	image/tiff	38947.188 KB	8396	5454	0x71AF603C	RGB	24 bit depth	600 dpi	asm00370000270005001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/147	147	148.jp2	Volume6\asm00370000270005001.tif	/asm0037/image/148.jp2
Miami and Miami Beach map		Wilson, Carmel	Hayes Gateway Service Station	Map of Miami and Miami Beach.		Miami (Florida) -- Maps; Miami Beach (Florida) -- Maps	Maps	R. C. Traster & Sons			Florida; Miami-Dade County (Florida); Miami Beach (Florida)	1 b&w map	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000027	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/148	148	149.cpd		/asm0037/image/149.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000026						asm00370000260001001	image/tiff	72317.507 KB	9177	5134	0x831C086B	RGB	24 bit depth	600 dpi	asm00370000260001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/149	149	150.jp2	Volume6\asm00370000260001001.tif	/asm0037/image/150.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000026						asm00370000260002001	image/tiff	74902.494 KB	9177	5134	0xA1B57C67	RGB	24 bit depth	600 dpi	asm00370000260002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/150	150	151.jp2	Volume6\asm00370000260002001.tif	/asm0037/image/151.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000026						asm00370000260003001	image/tiff	75448.275 KB	9177	5093	0xAB02E67	RGB	24 bit depth	600 dpi	asm00370000260003001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/151	151	152.jp2	Volume6\asm00370000260003001.tif	/asm0037/image/152.jp2
Miami Beach						Boats and boating; Swimming pools	Advertising fliers				Florida; Miami-Dade County (Florida); Miami Beach (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000026	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/152	152	153.cpd		/asm0037/image/153.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000041						asm00370000410001001	image/tiff	61220.808 KB	9217	5154	0x4120398D	RGB	24 bit depth	600 dpi	asm00370000410001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/153	153	154.jp2	Volume6\asm00370000410001001.tif	/asm0037/image/154.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000041						asm00370000410002001	image/tiff	57743.43 KB	9217	5154	0x1BAC996F	RGB	24 bit depth	600 dpi	asm00370000410002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/154	154	155.jp2	Volume6\asm00370000410002001.tif	/asm0037/image/155.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000041						asm00370000410003001	image/tiff	67793.648 KB	9157	5154	0xD17A6CAF	RGB	24 bit depth	600 dpi	asm00370000410003001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/155	155	156.jp2	Volume6\asm00370000410003001.tif	/asm0037/image/156.jp2
Miami Beach				Promotional flier advertising the charms of Miami Beach.		City promotion; Tourism	Advertising fliers	Miami Beach (Florida)			Florida; Miami-Dade County (Florida); Miami Beach (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami-Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000041	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/156	156	157.cpd		/asm0037/image/157.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000025						asm00370000250001001	image/tiff	38913.444 KB	7073	5414	0xFD960183	RGB	24 bit depth	600 dpi	asm00370000250001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/157	157	158.jp2	Volume6\asm00370000250001001.tif	/asm0037/image/158.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000025						asm00370000250002001	image/tiff	42541.14 KB	7073	5374	0x85546F1	RGB	24 bit depth	600 dpi	asm00370000250002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/158	158	159.jp2	Volume6\asm00370000250002001.tif	/asm0037/image/159.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000025						asm00370000250003001	image/tiff	41960.491 KB	7093	5374	0xDA3DE4BC	RGB	24 bit depth	600 dpi	asm00370000250003001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/159	159	160.jp2	Volume6\asm00370000250003001.tif	/asm0037/image/160.jp2
Tropical Park				Promotional flier advertising Tropical Park and its race track.		Tropical Park (Miami, Florida); Horse racing; Racetracks (Horse racing)	Advertising fliers	Tropical Park (Miami, Florida)	1958	1950-1960	Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000025	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/160	160	161.cpd		/asm0037/image/161.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000043						asm00370000430001001	image/tiff	46343.992 KB	7254	5474	0xDBD15B46	RGB	24 bit depth	600 dpi	asm00370000430001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/161	161	162.jp2	Volume6\asm00370000430001001.tif	/asm0037/image/162.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000043						asm00370000430002001	image/tiff	57703.381 KB	5410	7279	0xD6C49D42	RGB	24 bit depth	600 dpi	asm00370000430002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/162	162	163.jp2	Volume6\asm00370000430002001.tif	/asm0037/image/163.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000043						asm00370000430003001	image/tiff	40344.866 KB	7133	5434	0xB9D89232	RGB	24 bit depth	600 dpi	asm00370000430003001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/163	163	164.jp2	Volume6\asm00370000430003001.tif	/asm0037/image/164.jp2
Miami Beach city map				Folded city map of Miami Beach.		City promotion; Tourism	Maps				Florida; Miami-Dade County (Florida); Miami Beach (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami-Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000043	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/164	164	165.cpd		/asm0037/image/165.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000028						asm00370000280001001	image/tiff	70095.062 KB	9518	5434	0x673F66BD	RGB	24 bit depth	600 dpi	asm00370000280001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/165	165	166.jp2	Volume6\asm00370000280001001.tif	/asm0037/image/166.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000028						asm00370000280002001	image/tiff	67164.173 KB	9518	5434	0x6346BC3D	RGB	24 bit depth	600 dpi	asm00370000280002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/166	166	167.jp2	Volume6\asm00370000280002001.tif	/asm0037/image/167.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000028						asm00370000280003001	image/tiff	72943.44 KB	9518	5434	0x7A30EE5	RGB	24 bit depth	600 dpi	asm00370000280003001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/167	167	168.jp2	Volume6\asm00370000280003001.tif	/asm0037/image/168.jp2
Fishing from Miami Beach			Ebbets, C.; Roberts, H. A.; Woolfe, Ernie; Mahony, J.	Promotional materials for sports fishing off Miami Beach.	Appreciation is expressed to Ernie Woolfe, General Chairman of the Miami Beach Fishing Tournament, for his fine cooperation in the production of this folder.	Fishing; City promotion; Tourism	Advertising fliers	Miami Beach (Florida)			Florida; Miami-Dade County (Florida); Miami Beach (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000028	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/168	168	169.cpd		/asm0037/image/169.cpd
