Title	Translated Title	Variation of Title	Uniform Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Edition	ISSN	ISBN	Call Number	OCLC No.	Physical Description	Language	Editor	Attention	References	Donor	Provenance	Copyright	Repository	Collection Title	Collection No.	Container	Series	Object ID	Upload ID	Full text	Digital ID	Directory	Original Source	Type	Format	IBISWEB Catalog Link	Date Digital	Hardware	Software	BitDepth	Resolution	File Size	Width	Height	Checksum	Color Space	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																																asc9999001006		STRICTURES  ON  DR. HODGKIN'S  PAMPHLET  ON    NEGRO    EMANCIPATION  AND  AMERICAN COLONIZATION.  [   FROM   "THE IMPERIAL MAGAZINE"   FOR JULY,  1833. ]  Fronti nulla fides.  LONDON:  H. FISHER, R. FISHER, & P. JACKSON, 38, NEWGATE STREET.  1833.  \ 	asc99990010060001001											53825366 Bytes	3433	5224	2567187682	RGB	asc99990010060001001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5115	5115	5116.jp2	/scbooks/image/5116.jp2
Page 2																																asc9999001006		STRICTURES  AMERICAN COLONIZATION SOCIETY,  fyc.  In a production upon Negro slavery by a member of the Society of Friends, we might  expect to rind those clear views of right and wrong, and those sound Christian principles,  which that Society have so long and so consistently advocated upon this subject: but we  are constrained to say, that a careful perusal of this work has utterly disappointed us in  this respect, and we would venture to recommend to the Doctor, in his future disquisitions  on such subjects, to appeal to principle alone, and to reject the dictates of a mere worldly  and short-sighted expediency. Respecting the Anti-Slavery Society, and the cause of  abolition in our own colonies, we shall confine ourselves to a few observations, and then  proceed to lay open the real character of the American Colonization Society, of which our  author speaks in terms of approbation. His intentions are evidently good, and on that  account we will give him an attentive hearing ; but, really, the absurdity of blaming the  members of the Anti-Slavery Society for giving publicity to facts relative to the slavery of  the colonies, instead of confining themselves to abstract principles and notions upon the  subject, must have appeared to the Doctor himself, when, in the note appended to the  second page, he recommends the perusal of Whiteley's pamphlet, a work which teems  with appalling facts, and the very last of the kind put forth by the Society.  We agree with the assertion in the third page of the work before us, that the most  determined enemies of the cause would have raised no objection to the conduct of the  abolitionists, had they applied their funds in the form of loan to a few well-selected  planters, with which to try free-labour experiments : doubtless they would not; and their  acquiescence is not the least suspicious feature in the case; but we would ask, what  would any sensible friend of the negro have said to their thus dissipating, upon vague  and visionary schemes, the money which was contributed for a direct and specific  purpose.  To give our author his due, perhaps, we ought to say that the principal merit of his  work is, that he frequently answers his own objections; thus, while in pages 4 and 5, he  contends for an abolition of slavery, so gradual as to be almost imperceptible ;—his notes  appended to those pages go far to shew that immediate emancipation would be the best for  all parties ; and if, instead of deploring the want of historical information upon the  subject, he had consulted the writings of General Vincent, La Croix, or Malenfant,  he would have found in the history of Hayti most irrefragable proof, both of the safety  and policy of immediate emancipation. These writers, who were eye-witnesses, testify that,  after immediate and unexpected emancipation was proclaimed in 1794, the negroes continued to work upon the plantations throughout the island, and that the planters retained  possession of their estates, and of the negroes, as labourers, for nearly eight years. 	asc99990010060002001											52859362 Bytes	3379	5212	3709928322	RGB	asc99990010060002001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5116	5116	5117.jp2	/scbooks/image/5117.jp2
Page 3																																asc9999001006		4 AMERICAN COLONIZATION SOCIETY  EXPOSED.  This state of things continued until 1802, when Buonaparte sent Leclerc at the head of  an expedition, for the purpose of bringing them back to slavery. Roused by this to a  determined struggle for the maintenance of their rights, the most awful bloodshed ensued,  and Napoleon's infamous attempt was successfully repulsed ; the whites who escaped the  sword were justly expelled from the country, and the plantations and sugar-works throughout the island were destroyed.  In page 23, he appears to approve the iniquitous principle, that the slave shall pay for  his own ransom ; page 24, he tell us, relief to the planter really consists in placing in his  hands the market price of the slave ; after which he adds, u This seems to comprehend  the full extent of remuneration which justice requires : but I would go further, and give a  bonus to the planter, to conciliate his amicable co-operation, and in consideration of the  various difficulties of his situation.'7  Nice and scrupulous sense of justice to the slave owner, truly !! But the Doctor  does not appear to be able to see the ten-fold greater claim of the slave to compensation,  both from the planter and the country. As he has mentioned in a former part, the return  of the children of Israel from bondage, we would remind him, that the Almighty in that  case directed compensation ; but it w7as from the task master to the slave : in truth, the  compensation awarded under the Mosaic dispensation would have been the reversing of  the relative positions of the master and the slave.  The laws of England (from the time when the grossest delusion was practised by  the slave-trader upon Queen Elizabeth, to the present day,) have never sanctioned the  making of one slave, but have, on the contrary, always been restrictive.  What was the conduct of the early Quakers, when they became sensible of the iniquity  of holding slaves ? We are told they felt themselves bound to give emancipation, and  to calculate what was due to them in wages for past services, over and above the cost  of maintenance and clothing. His opinion, page 4 and 2l3, is, that the produce of the  estates, after emancipation, when cultivated by free labour, will be equal, if not superior,  to what it is at present: we do not doubt it, and the act of emancipation will transfer the  value of the slaves to the land—thus the estates, after emancipation, will be worth as much  as the estates and slaves are at present. We have no objection to the relief of all cases  of loss proved to arise from emancipation, beyond which we protest against compensation ;  especially, as by granting it we shall impede the great cause of the emancipation of five  millions of slaves in other parts of the world.  With respect to the Colonization Society, which our author thinks a bright spot in  the American economy, and in support of which, page 11, he states his willingness  even to speak peace to the slave-owner in his sins, we will now make a few observations.  Having before us reports down to their sixteenth, dated January, 1833, we think no  other documents necessary to shew that the Society affords a practical illustration of " Satan  transformed into an angel of light." In 1816, the state of Virginia, alarmed at the  increase of her slave and free coloured population, and justly imagining that the latter  reflected upon the dark heart of the slave the light of freedom, petitioned congress to  colonize the free coloured people. The slave-owners of the other estates participated in  the same feeling, and in that year the Society was organized at Washington, and has since  spread its branches over all parts of the Union. From Dr. Hodgkin's remarks respecting  it, we extract the following, on each of which we shall take leave to append a few observations of our own.  " The objections to the American Colonization Society," says he, " may be arranged  under the following heads; to which 1 shall endeavour to reply seriatim.  "First: That the citizens of the United States entertain a deep-rooted and illiberal prejudice against the people of colour, and that the Colonization Society originates in, and  tends to gratify and perpetuate, that feeling."  We will now notice the Doctor's reply to this objection. The deep-rooted prejudice  mentioned in it is admitted ; but we are told that it is only to be overcome by interest—  a truly extraordinary sentiment, put forth by a professor of the Christian name, in a day  when the religious world has been favoured to see the most wicked and inveterate prejudices yielding to that spirit which animated the great apostle, when he said, "I can do  all things, through Christ which strengtheneth me."  We have no doubt that when the religious part of the population of the United States  are convinced that it is their duty to overcome this prejudice, and to speak the whole truth  to their brethren, that they will be blessed with abundant success.    But it is clear to us 	asc99990010060003001											53613582 Bytes	3432	5205	2929513675	RGB	asc99990010060003001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5117	5117	5118.jp2	/scbooks/image/5118.jp2
Page 4																																asc9999001006		AMERICAN   COLONIZATION  SOCIETY  EXPOSED. O  that the Colonization Society has cruelly increased this prejudice, their reports now  before us abound with the most degrading epithets, and the most contemptuous abuse.  Even in their Report for 1833, the free people of colour are termed " a proscribed and  degraded caste, a morbid excrescence from the body politic," &c. Manumission, which  was proceeding rapidly previous to the rise of this Society, has now almost ceased ; a  principle being established by its influence, that it is wrong to emancipate, unless on  the condition of submitting to banishment.  On this subject we will now give a few extracts from their organ the " African Repository," which we think will leave no doubt on the minds of readers, as to the spirit which  animates them, whatever they may' think of the policy of their measures.  "There is a class, however, more numerous than all these, introduced amongst us by violence, notoriously ignorant,degraded and miserable,mentally diseased, broken-spirited,acted  upon by no motives to honourable exertions, scarcely reached, in their debasement, by  the heavenly light. Their freedom is licentiousness; and to many, restraint would  prove a blessing."—African Repository, Vol. I. p. 68.  "Free blacks are a greater nuisance than slaves themselves."—Idem Vol. II. p. 268.  " Their degradation is dark, and deep, and hopeless. Benevolence seems to overlook  them, or struggles for their benefit in vain. Patriotism forgets them, or remembers them  only with shame for what has been, and with dire forebodings for what is yet to come.  In every part of the United States, there is a broad and impassable line of demarcation  between every man who has one drop of African blood in his veins, and every other class  in the community. The habits, the feelings, all the prejudices of society—prejudices  which neither refinement, nor argument, nor education, nor religion itself can subdue—  mark the people of colour, whether bond or free, as the subjects of a degradation inevitable and incurable. The African in this country belongs by birth to the very lowest station  in society; and from that station he can never rise, be his talents, his enterprise, his  virtues, what they may. They constitute a class by themselves—a class out of which no  individual can be elevated, and below which none can be depressed.—African Repository,  Vol. IV. p. 117—119.  " I will look no farther, where to seek for the most degraded, the most abandoned race  on the earth, but rest my eyes on this people. What but sorrow can we feel at the misguided piety which has set free so many of them by death-bed desire, or sudden conviction of injustice. We think it a mistaken philanthropy, which would liberate the slave,  unfitted by education and habit for freedom, and cast him upon a merciless and despising  world, where his only fortune must be poverty," &c.—Idem. Vol. III. p. 197.  " They are neither freemen nor slaves, but between both, and more miserable than  either."—7th Annual Report. .  Now so far as these charges are true, the degradation they set forth must be attributed  to the prevention of education, and to an unjust and infamous system of legislation; but  we are glad to inform our readers, that, applied to the whole body of free coloured people,  they are a base, false, and wanton libel; and they are undoubtedly calculated, in the  words of our proposition, to gratify and perpetuate that fierce and anti-christian prejudice  in which this Society had its origin.  The coloured citizens of New York, in public meeting assembled, in 1831, say,—  " It is evident to any impartial observer, that the natural tendency of all their  speeches, reports, sermons, &c, is to widen the breach between us, and give to prejudice a tenfold vigour." The noble-minded free coloured men of Philadelphia say,  " We will never voluntarily separate from the slave population; they are our brethren  by the ties of consanguinity, of suffering, and of wrongs."  The Second Objection which the Doctor cites as having been brought against the  Colonization Society, is as follows :—" That its object is to continue slavery, by affording the means of removing free people of colour, and keeping down the redundancy  of the slave population, which the excess of births over deaths is naturally occasioning;  that is, to administer peace and safety to the oppressor, while it more strongly rivets  the chain on the oppressed."  In reply to this objection, we are told, that the removal of the whole slave and  free coloured population is a moral impossibility, even were such an undertaking to  be attempted by Congress itself; and that the Colonization Society cannot be regarded  as producing any sensible effect on the number of coloured inhabitants in the United  States.    Certainly the   number  transported   by the Society since their establishment is 	asc99990010060004001											54114346 Bytes	3446	5232	3191680720	RGB	asc99990010060004001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5118	5118	5119.jp2	/scbooks/image/5119.jp2
Page 5																																asc9999001006		6 AMERICAN COLONIZATION SOCIETY EXPOSED.  but as a drop in the bucket—nevertheless, it is obvious, that in proportion to the  success of the Society, they will keep down that redundancy, of which, notwithstanding  they have endeavoured to rid themselves by an internal slave-trade, even now makes  the slave owners in some of the states tremble in their beds. The Colonization Society  contemplate the assistance of congress, and we find that Maryland has just granted them  two hundred thousand dollars. A bill passed the general assembly of Virginia, appropriating thirty-five thousand dollars the first year, and ninety thousand dollars for the second  year, to aid in the deportation of the free people of colour of their state; and although it  was rejected in the senate by a small majority, there seems little reason to doubt that  it will shortly be obtained. The legislatures of five other states have taken the cause of  the Society into consideration, and it is expected will aid it with funds.  The free people of colour are therefore justified in their apprehension, that as the means  of the Colonization Society increase, other states may follow the infamous example of Ohio,  and enact, " that every free coloured inhabitant shall give a security of five hundred dollars  that they will not become chargeable to the state; or, shall leave the country within thirty  days!!!'7  This being a provision with which the bulk are unable to comply, is in fact an act of  banishment. We differ from our author in his anticipation, " that a servile war must eventually terminate to the disadvantage of the people of col our." We have long believed, that  a time of retribution was approaching; and we cannot with flattery or smooth tales speak  peace to the perpetrators of a horrid crime, by attempting a distinction between the making  men slaves and keeping them slaves. President Jefferson well said, " I tremble for my  country, when I reflect that God is just; that his justice cannot sleep for ever; that, considering numbers, nature, and natural means, only, a revolution of the wheel of fortune, an  exchange of situation, is among possible events; that it may become probable by supernatural interference; and that in case of a servile war, there is no attribute of the Deity to  which we could look for help."  The Third Objection quoted against this Society is, "That it reflects unmerited and  unjust banishment on those who have every reason to regard America and not Africa as  their country, and who have every right to claim those privileges which born citizens inherit,  and which the strangers and exiles of every country receive from the government of the  United States.  Our author replies to this objection, that he cannot bring his mind to believe, " that the  good men who compose that Society can be concerned as principals or parties to so base  and dishonourable a subterfuge as compulsory expatriation." But we cannot shut our eyes  to the fact, that a great proportion of the promoters of the Society are slave-owners'; and  " these good men" have told us, not only that as the Society succeeds in its operations the  slaves must rise in value, but also, (see Annual Reports, 1, 7,12, and 15,) that the removal  of the free coloured class will strengthen the hands of the slave-owners against his slave.  With such temptations and inducements, what reason have we to suppose that they will  not make use of the power of the state, whenever they may be able to obtain it ?  The Western Luminary informs us, that " by the operations of the Colonization Society  the value of the slave will be enhanced;" and in the African Repository we are told—  " The object of the Colonization Society commends itself to every class of society; the  landed proprietor may enhance the value of his property by assisting the enterprise. The  tendency of the scheme, and one of its objects, is to secure slave-holders, and the whole  southern country; it will render the slave who remains in America more obedient, more  faithful, more honest, and more useful to his master."  Now, so far from this objection being unfair, as our author alleges, it lies against the  Society with even more force than the third proposition states. In the 9th page of their  15th Report, they say—" And the fact is not to be concealed, that the free people of  colour, taken as a community, look upon our undertaking with dissatisfaction."  In Philadelphia, New York, Baltimore, Columbia, and every city and district of the  Union, where the free people of colour are not prevented by law, they have met, and have  issued most spirited remonstances, and most pathetic and affecting appeals, against this  scheme of banishment. We regret our limits must prevent the insertion of them at length.  They say—" We are not strangers, we are American citizens: our fathers were among the  first that peopled this country: for her liberties many of them fought, bled, and died. We  will never voluntarily leave our country. We are content to abide where we are. We do  not believe things will always remain the same.  The time must come when the rights of all 	asc99990010060005001											55649442 Bytes	3544	5232	34083285	RGB	asc99990010060005001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5119	5119	5120.jp2	/scbooks/image/5120.jp2
Page 6																																asc9999001006		AMERICAN  COLONIZATION SOCIETY EXPOSED. 7  will be appreciated and acknowledged. God hasten that time! This is our home, and  this our country; beneath its sod lie the bones of our fathers: for it, some of them fought,  bled, and died.    Here we were born, and here we will die."  The Fourth and last Objection which Dr. Hodgkin notices, is, " that the American Colonization Society is guilty of inconsistency, in professing the wish and hope to benefit and  civilize Africa, by sending to that continent those whom it denounces as degraded,  debased, and dangerous."  With regard to this objection, our author does not deny, that the Colonization Society  has denounced the coloured class as degraded, debased, and dangerous. This being  admitted, it appears to us, that the profession of their pure intentions to evangelize Africa,  by getting rid of the people whom they denominate a nuisance, is only a borrowed  front, and a gross and palpable inconsistency.  The assertion, that the free blacks of the United States are far superior in moral and  intellectual character to the negroes of the West Indies, is perfectly true; and does that  fact prove that a degraded, debased, and dangerous man, is a qualified missionary ? But  we do not hesitate to confirm the Doctor's views as to the comparative condition of these  two classes, by avowing our belief, that every sensible man, who forms his estimate merely  from the published resolutions of the Colonization Society, and the counter-resolutions of  the free blacks, will decide, that not only do the latter in moral and intellectual respects  excel the ill-fated negroes of the West Indies, but also the conceited, insolent, and hypocritical wretches in whose defence the pen of Doctor Hodgkin is now employed.  Doctor Mechlin, the governor of Liberia, has feelingly deplored the ignorance and  unfitness of some of the poor objects sent out by the Colonization Society; and in the  16th Report, page 13, they tell us, "The character of many of those from North Carolina,  the Board regret to say, is represented as likely rather to diminish than increase the  prosperity of the colony."  The mortality attendant upon the removal of the coloured Americans to Liberia is  unquestionably awful. In Mrs. Kilham's letter, inserted in the publication before us,  three reasons are given for it, viz., the want of provisions, a lack of medical men, and the  removal from a cold to a hot climate. The latter undoubtedly is the real cause, and one  which must always operate.  We do not believe the glowing accounts put forth by their Agent in this country; for  private information assures us, that Liberia is a little miserable military colony.  We have now done with the Doctor; but really his attempt to invalidate the objections  against the Colonization Society, is so complete a failure, that it forcibly strikes us, that  he sees through the scheme, and has endeavoured to offer all that could be advanced, in  order more prominently to exhibit the hollow pretensions of this heartless Association.  Most of the principal managers are slave owners : one of their presidents, at the time  he held that office, publicly offered a reward to any person who could apprehend, and  bring back to his cart-whip, a poor female runaway slave !!  In their various reports now before us, they term the right of the master to his slave  sacred; and appear particularly anxious to clear themselves from the unfounded calumny  which has appeared against them, "that they contemplate the ultimate abolition of  slavery."  The attempt which has been made for two years by their agent, Mr. Cresson, to delude  the people of this country into a belief, that the object and tendency of the Colonization  scheme was the abolition of slavery, is one which nothing but American impudence could  devise or prosecute. It is becoming manifest, that the inevitable and intentional tendency  of their measures is to confirm slavery, and cut off all hope of emancipation.  The price of slaves, like every marketable article, rises or falls in proportion to the  demand and supply. Slavery, to be profitable, must be in a state in which labour is scarce  in proportion to the demand; but the increase of the American slaves is producing a  redundance of labour, on which account they cannot hold them much longer in slavery,  unless the Colonization Society afford a drain. By a beneficent law of nature, the  increase of numbers would destroy slavery in any country, if not counteracted by artificial  means. This has been accomplished in our West India colonies by night-work and the  whip; the Spartans effected it by open butchery, and the Egyptians by the intervention of  the murderous midwife; the Americans have done it by an internal slave-trade, but  which, on account of their amazing increase, (from the facility of procuring food, &c.) is 	asc99990010060006001											52130262 Bytes	3304	5257	3966306619	RGB	asc99990010060006001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5120	5120	5121.jp2	/scbooks/image/5121.jp2
Page 7																																asc9999001006		8 AMERICAN COLONIZATION  SOCIETY EXPOSED.  now no longer sufficient to carry off the redundance. Hence one powerful reason for the  establishment of the American Colonization Society.  We do not know that a clearer view of the objects of the Society could be given, than  that which is afforded by the Honourable Mr. Archer, of Virginia, at their general annual  meeting in 1832; and as the Society have distinguished this part of his speech by printing  it in italics, they must desire its especial notice:—" If none were drained away, slaves  would become inevitably and speedily redundant. When this stage had been reached,  what course or remedy remained ? Was open butchery to be resorted to, as among the  Spartans with the helots? or, general emancipation and incorporation, as in South  America ? Either of these was a deplorable catastrophe :—could they be avoided ? and if  they could, how ? There was but one way, and that might be effectual, fortunately ! It  was, to provide and keep open a drain for the excess of increase beyond the occasion of  profitable employment. This might be done effectually by an extension of the plans of  the Society ; the drain was already opened, and all that was necessary would be to provide  for the enlargement of the channel, as occasion might demand."  As to the absurd plea, of evangelizing Africa, it is, unfortunately, the same fraudulently used  by Sir John Hawkins, to obtain queen Elizabeth's concurrence in the slave-trade; and we have  no doubt that all colonies upon the African coast, while slavery exists, will feed that trade, by  the facility they afford for the purchase of goods, which are exchanged for slaves. In confirmation of which, it appears from Lord Goderich's despatch to the governor of Sierra Leone,  dated 18th January, 1832, that it has been carried on in that colony. His Lordship says,  " That the slave-trade has been extensively carried on at Sierra Leone is a fact, which the  evidence taken before the Committee unhappily places beyond the reach of controversy."  Such are the claims of the American Colonization Society ! We are content to rest our  arguments, in opposition to it by the professions of its advocates. We are not disposed to  complain of the patronage which was for a time extended to it, by some of the warmest advocates of the cause of humanity in England; because we know full well, what pains were taken  to deceive them; but we most earnestly recommend to the abolitionists, and to the author of  the pamphlet before us, to acknowledge no fellowship with the emissaries of this Association, until they shew the scars of conflict with the oppressors and murderers of their  species—until they prove that their cause is not disgraced and damned, by the acquiescence of the most contemptible wretches of modern times — the American slaveholders.  London: H. Fisher, R. Fisher, & P. Jackson. 	asc99990010060007001											55013962 Bytes	3477	5272	2755004988	RGB	asc99990010060007001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5121	5121	5122.jp2	/scbooks/image/5122.jp2
Strictures on Dr. Hodgkin's pamphlet on negro emancipation and American colonization							This item was digitized with the support of the Blue Cross and Blue Shield of Florida Quality of Life Grant, 2013.	Hodgkin, Thomas, 1798-1866; American Colonization Society.	Books	London : H. Fisher, R. Fisher, & P. Jackson	1833	1830-1840					E448 .H695	15464406	8 p. ; 21.5 cm	eng	mpc					http://merrick.library.miami.edu/digitalprojects/copyright.html	University of Miami Libraries. Special Collections	Special Collections Books	ASC9999			asc9999001006					The Imperial Magazine, July 1833	Text	image/tiff	http://catalog.library.miami.edu/record=b1066218~S11													2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5122	5122	5123.cpd	/scbooks/supp/5122/index.pdf
Page 1																																asc9999001003		AN ADDRESS  DELIVERED   BY  l»he Rev. HENRY BROWNE  ON THE OCCASION OF THE LAYING  STfte jFoutt&attGn Stone  OF   St.   PAUL'S   CHIRCB,  ANNANDALE, ST. ANN'S,  JAMAICA.  i  KINGSTON:  PRINTED BY SHANNON & LUNAN.  1838. 	asc99990010030001001											57503734 Bytes	3560	5382	1011846867	RGB	asc99990010030001001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5123	5123	5124.jp2	/scbooks/image/5124.jp2
Page 2																																asc9999001003		|&gt;||BFA€E.  1THE following able discourse was delivered  in the presence of the Hon. Wm, Parke, Gustos of the Parish of St. Ann, his family,  and a number of the resident gentry of the  county, to a very large body of the Apprentices^ and others of the coloured population*  on laying the first Stone of the new Church,  St. Paul's, Annandale, the 7th April, 183S.  There was something^ peculiarly interesting  on the occasion to every well-wisher of this  Colony. The Church, which will be one of the  largest in the Island, will be built principally  by the labor of the negro and other coloured  classes, voluntarily bestowed*  The Honorable Robert Johnston, formerly a  a Member of Council in this Island, had been an  absentee for many years, but lately returned to'  take possession of Annandale, and some other  Estates, in St.- Ann's, which descended to him 	asc99990010030002001											56717638 Bytes	3544	5333	4175268124	RGB	asc99990010030002001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5124	5124	5125.jp2	/scbooks/image/5125.jp2
Page 3																																asc9999001003		on the recent demise of his brother.    He found  a large tract of country, and an accumulating  population, without any Church or other adequate means of moral and religious instruction;  and it became a principal object with him, during a short stay among us, to afford these ines-*  timable benefits to his immediate tenantry and  neighbours.    He gave up a sufficient portion  of ground (three acres) from his estate, which  he vested by deed in the diocesan, in perpetuity.     He  consented to  furnish  the entire  building materials, and to aid the work by pecuniary assistance.     His intention and plans  being made known to the Bishop, met with his  entire approbation; and his Lordship promised,  with ready  alacrity,   to assist the  undertaking from funds placed  at  his disposal.    Mr.  Johnston's next application was to the House  of Assembly, and he was equally successful, a sum  of £300 being liberally granted ; nor were the  Parochial Authorities of St. Ann's to be out-  clone in forwarding so laudable a design ; they  voted in aid a sum of £500, the entire grant of 	asc99990010030003001											55663226 Bytes	3525	5262	2065951612	RGB	asc99990010030003001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5125	5125	5126.jp2	/scbooks/image/5126.jp2
Page 4																																asc9999001003		s  the Assembly to the Parish, and, in the most  gratifying manner, accompanied their grant by  a unanimous vote of thanks to Mr. Johnston,  for his zeal in so good a cause.  With this cooperation, and with the means thus  liberally afforded, the work was commenced,—  all would, ho we ver, have been wholly insufficient  but for the personal exertions of the spirited and  intelligent proprietor. The ground and materials were found, but the labour was wanting.—  He called together the apprentices on his estates, and, reasoning mildly with them on the advantages that would result to themselves, in a  religious and moral poir\t of view* from the contemplated establishment, he succeeded in coira-  pletely enlisting their feelings in the good  cause. The better provided, furnished small  sums in aid; while others agreed to give their  labour gratuitously in their own time. In the  coufse of a very short period no less than 1200  days were subscribed I and most cheerfully in  the result, was this labour bestowed.  The work was begun on Saturday the 10th of  March; and so earnest and sincere were the ef- 	asc99990010030004001											57623542 Bytes	3535	5432	1857581310	RGB	asc99990010030004001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5126	5126	5127.jp2	/scbooks/image/5127.jp2
Page 5																																asc9999001003		6  forts the apprentices made, that in one day 46  people cleared about four acres of virgin, unopened woodland. Their numbers during each  week since have gradually but considerably increased; and on the day on which the Rev.  Henry Browne delivered the following plain  but admirably adapted discourse, from 800  to 1000 of the population pressed forward to  hear the word of the living God, and to see laid  the Foundation Stone of a temple devoted to  His service—the superstructure of which they  felt an honest pride in knowing, was to be the  result of their own gratuitous efforts.  The result of that day's labor was full of  interesting promise; nor was the promise unper*  formed. The news of the proceedings spread  in every direction through the neighbourhood,  and from a circuit of 8 and 10 miles were to be  seen flocking, on the following Saturdays, volunteers, ready and eager for the appointed  work; nor was theirs the tardy and painful toil  of forced, and compulsory servitude;—all were  zealous in the cause"—-active, laughing, joking,  ajid endeavouring to outvie e^ch other in their 	asc99990010030005001											54796206 Bytes	3455	5285	3956106513	RGB	asc99990010030005001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5127	5127	5128.jp2	/scbooks/image/5128.jp2
Page 6																																asc9999001003		individual efforts. Children of tiny growth, and  the old in their decrepitude, joined the strong  and the healthy. One common feeling seemed  to pervade them all, and great indeed was the  moral lesson recorded. May it be read with  the interest it deserves, not in this country  alone, but in the Parent State, and throughout  the civilised world. It will teach the Proprietors of Jamaica's soil, that the aptitude for labor  in the apprentice, where properly directed, may  be fairly relied on—it will teach the misinformed  of the mother-country, that their exertions for the  amelioration of the slave have not been attended  with the uncertain results they have been led to  believe,    It will shew the civilized world that  " The poor Indian who%e untutored mind  Saw God in clouds, or heard him in the wind,"  has so far improved in his social condition, as  to press forward in hearty demonstration of  his acknowledgment of the revealed word.  Towards the end of the present discourse are  some extracts from an Address of the Bishop of  this diocese. They refer in language pathetically impressive and beautiful to the necessity of building churches of adequate size and  appropriate  ornament.     This  has not been 	asc99990010030006001											53826238 Bytes	3444	5208	2206035810	RGB	asc99990010030006001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5128	5128	5129.jp2	/scbooks/image/5129.jp2
Page 7																																asc9999001003		overlooked or neglected by Mr. Johnston, and  the proportions and characteristics of the new  church with reference both to its external and  internal arrangements, are calculated to afford  ample space for the large community at present left without any opportunity of public  worship, and not unfitting the sacred purposes  to which it is to be dedicated.  Jamaica owes her thanks to Mr. Johnston, for  the spirited manner in which he has conducted  this undertaking;. Happy indeed would it be for  this land, in her impending trials and difficulties,  if the owners of extensive properties would imitate the example of the proprietor of Annandale* by furnishing a benighted population with  the means of improving their social relations, by  that most unfailing and unerring medium—the  diffusion of the truths of Christianity.  " Go little Book from this my solitude—  I cast thee on the waters—go thy ways ;  And if as well I deem, thy vein be good,  The world will find thee after many days."    W. C. M.  * Since the above was written, it is most gratifying, to have to announce, that the example has been followed, and nobly too by the  wealthy owner of Eltham—Benjamin Scott MoncriefF, Esq. This  Gentleman has liberally vested land in the Bishop and his successors  for building a Church at Ocho-Iiios, and has aided the undertaking  by pecuniary assistance. From the funds at his disposal, the Lord  Bish,op of the Diocese has again proffered his ready and substantial  aid, and the principle first called into action by the intelligence of  Mr. Johnston, has been again successfully evoked—the gratuitous  labour of the apprentices, being largely and with the greatest alacrity  subscribed. 	asc99990010030007001											55076458 Bytes	3455	5312	3407437921	RGB	asc99990010030007001.tif		2013-07-30	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5129	5129	5130.jp2	/scbooks/image/5130.jp2
